,KIRC Tumor,KIRC Normal,BRCA Tumor,BRCA Normal,BRCATang Tumor,OV Tumor,OV Metastasis,combined.p,adjusted.combined.p,combined.p.TUMOR.ONLY,adjusted.combined.p.TUMOR.ONLY
5-Methylthioadenosine (Mta),2.00E-04,0.9902,0.004,NA,0.3732,NA,NA,0.000411166,0.010765073,7.70E-05,0.007997111
Cytidine 5'-Diphosphocholine,0.001,0.003,0.004,0.954,0.2598,0.0398,1,6.24E-05,0.005137142,8.12E-05,0.007997111
Galactose,2.00E-04,0.0252,0.029,0.424,NA,0.052,0.565,0.000130799,0.006806131,7.76E-05,0.007997111
Ribose,2.00E-04,0.9246,0.0016,0.793,0.708,0.144,0.2906,0.001209445,0.016644741,6.66E-05,0.007997111
S-Adenosylmethionine,4.00E-04,0.9978,0.011,NA,NA,NA,NA,0.000785217,0.014133899,0.000117338,0.009246264
S-Adenosylhomocysteine (Sah),2.00E-04,0.9664,0.027,0.05,0.2894,0.0514,0.1402,0.000193909,0.007977955,0.000140977,0.009257467
Adenine,2.00E-04,0.993,0.03,NA,0.3748,0.061,1,0.003168894,0.028081273,0.000219288,0.00959992
Erythronate,0.0016,0.0024,0.016,0.223,0.1716,0.03,0.5702,2.76E-05,0.005137142,0.000212174,0.00959992
Threonate,0.9988,0.0038,0.826,0.801,0.97,0.9902,1,0.796169839,0.917068558,0.000202886,0.00959992
2-Hydroxyglutarate,4.00E-04,0.9946,0.022,NA,0.2644,0.075,0.571428571,0.00252958,0.023885867,0.000267228,0.010331065
Threonine,2.00E-04,0.1574,0.0084,0.5162,0.6292,0.1812,0.5872,0.00146443,0.01839464,0.000288431,0.010331065
Fructose,2.00E-04,0.103,0.005,0.321,0.5898,0.4118,0.146,0.000339572,0.010294391,0.000350268,0.011500459
Erythritol,2.00E-04,2.00E-04,NA,NA,0.2016,0.0562,0.1448,1.97E-06,0.001137078,0.00044624,0.012346603
Homocysteine,0.001,0.929,0.017,NA,NA,NA,NA,0.002311239,0.022952993,0.000407398,0.012346603
Lactate,2.00E-04,2.00E-04,0.1452,0.61,0.4286,0.028,0.1344,6.14E-06,0.001767348,0.000470048,0.012346603
Glycylleucine,8.00E-04,0.3024,0.027,0.701,0.2358,0.1122,0.5772,0.005855008,0.037893087,0.000701508,0.01561102
Isoleucine,2.00E-04,0.0376,0.0404,0.4522,0.2876,0.2532,0.57,0.001052291,0.016381612,0.000718212,0.01561102
Pantothenate,2.00E-04,0.019,0.0244,0.7422,0.933,0.137,0.568,0.000958627,0.015647031,0.000752816,0.01561102
Phenylalanine,2.00E-04,0.0826,0.0416,0.5672,0.2624,0.2542,0.7102,0.002382625,0.023121412,0.000685116,0.01561102
Ribitol,0.0114,0.0346,0.055,NA,0.1046,0.0108,0.146,0.000218862,0.008009185,0.000833893,0.016427697
Arginine,2.00E-04,0.0026,0.0266,0.5058,0.8722,0.1928,0.7088,0.00026503,0.008979839,0.001005741,0.018011913
Aspartylphenylalanine,2.00E-04,0.0944,0.077,NA,0.403,0.14,0.424,0.001188415,0.016644741,0.000982489,0.018011913
Dodecanedioate,0.967,0.623,NA,NA,NA,1,0.566,0.048002139,0.151918856,0.001101181,0.018324528
Nicotinamide,4.00E-04,0.0084,0.2378,0.6618,0.3456,0.031,0.4386,0.000583407,0.012001523,0.001116215,0.018324528
"5,6-Dihydrouracil",2.00E-04,0.007,0.328,0.352,0.0696,0.3266,0.2906,0.000317282,0.010153035,0.001511637,0.019282867
Aspartylleucine,2.00E-04,0.1246,NA,NA,0.4246,NA,NA,0.001652367,0.0184287,0.001761886,0.019282867
Glutathione Reduced (Gsh),0.001,0.023,0.156,0.738,0.1686,0.055,0.426,0.001608883,0.0184287,0.001475626,0.019282867
Glycylisoleucine,2.00E-04,0.1224,NA,NA,0.384,NA,NA,0.001495824,0.01839464,0.001608853,0.019282867
Hypoxanthine,2.00E-04,0.2692,0.1594,0.7828,0.3792,0.1296,0.8634,0.014594922,0.068346951,0.001572104,0.019282867
Leucine,2.00E-04,0.068,0.11,0.6888,0.3152,0.241,0.5872,0.0044252,0.033266301,0.001654659,0.019282867
Mannose,2.00E-04,0.7758,0.0416,0.7918,0.35,0.427,0.141,0.007784762,0.046227038,0.001308257,0.019282867
Mannose-6-Phosphate,4.00E-04,0.685,0.053,0.439,0.222,0.3284,0.2852,0.008916167,0.051314426,0.001555251,0.019282867
Methionine,4.00E-04,0.313,0.063,0.605,0.2716,0.2594,0.7242,0.013199707,0.064983173,0.001735869,0.019282867
Hydroxyproline,0.001,0.001,0.2972,0.837,NA,0.031,0.1398,8.74E-05,0.006188183,0.001470711,0.019282867
Tyrosine,2.00E-04,0.0766,0.042,0.5064,0.6492,0.3286,0.7242,0.004703322,0.033863922,0.001748649,0.019282867
Valylglycine,2.00E-04,0.381,NA,NA,0.3754,NA,NA,0.003786663,0.030455018,0.001576223,0.019282867
2-Methylbutyroylcarnitine,4.00E-04,0.2156,0.4416,0.7746,0.467,0.026,0.8542,0.015265634,0.070344042,0.002015457,0.019774528
4-Hydroxybutyrate,2.00E-04,0.0082,0.053,NA,0.5342,0.4092,0.146,0.000180386,0.007977955,0.002142057,0.019774528
Alanine,2.00E-04,0.0608,0.0578,0.4736,0.6296,0.3214,0.7202,0.004588185,0.033512942,0.002158134,0.019774528
Asparagine,2.00E-04,0.1648,0.3292,0.5586,0.3704,0.0886,0.7088,0.009281232,0.051902811,0.00202726,0.019774528
Laurate (12:0),1,0.8814,0.9408,0.7696,0.8044,0.8576,0.7178,0.000393275,0.010765073,0.002064788,0.019774528
Uracil,2.00E-04,0.013,0.1396,0.7936,0.2938,0.2572,0.8618,0.00240848,0.023121412,0.001989481,0.019774528
Xylitol,2.00E-04,0.8284,0.25,NA,0.4972,0.0896,0.146,0.005113228,0.034649642,0.002076485,0.019774528
2'-Deoxyguanosine,0.0012,0.4616,0.015,NA,0.273,0.502,0.571428571,0.009373335,0.051913853,0.002250285,0.020150275
Succinylcarnitine,4.00E-04,0.0604,0.426,0.601,0.7628,0.0202,0.4298,0.004095661,0.031454675,0.00236341,0.02069297
Glycylvaline,0.001,0.3012,0.16,NA,0.1226,NA,NA,0.004447058,0.033266301,0.002769109,0.022729769
Ribulose,0.004,0.9058,0.021,NA,0.6524,0.0556,0.146,0.006755603,0.041841154,0.00265617,0.022729769
Sorbitol,0.0722,0.151,0.005,0.1,0.165,0.0532,0.146,0.001213679,0.016644741,0.002739034,0.022729769
Citrulline,0.9974,0.6338,0.9982,0.9118,0.6576,0.9466,0.8578,0.000454641,0.011385803,0.002987244,0.023566857
Phenylalanylserine,4.00E-04,0.001,NA,NA,0.382,NA,NA,4.27E-05,0.005137142,0.002990718,0.023566857
Heme,0.964,0.01,0.7004,0.8506,0.9624,0.9432,0.571428571,0.728395655,0.883275574,0.003246461,0.025080501
Cysteine,0.0022,0.168,0.1432,0.8368,0.5704,0.0252,0.7144,0.019594265,0.082381726,0.003618624,0.027245248
Fucose,2.00E-04,2.00E-04,0.253,NA,0.2166,0.42,0.7122,5.95E-05,0.005137142,0.00366497,0.027245248
Propionylcarnitine,2.00E-04,0.1576,0.5226,0.606,0.9362,0.0596,0.4196,0.012858655,0.064315221,0.004402557,0.03153832
Valine,2.00E-04,0.2378,0.233,0.7134,0.3794,0.325,0.7102,0.025430471,0.101020355,0.004352313,0.03153832
