"","KIRC","BRCA","BLCA","BRCATang","LGG","OV","PAAD","PAADHussain1","PAADHussain2","PRAD","PRADLODA","TestStatistic","P-value","AdjustedP-Value","NumStudies","NumPositiveCor","NumNegativeCor"
"1,2-Propanediol",0.0322321717251328,NA,NA,0.821612847629765,0.781118121743045,0.393117852748204,NA,NA,0.455524891127703,NA,NA,11.1965116663703,0.342414372648216,0.506907551665497,5,0,0
"1,3-Dihydroxyacetone",0.133795128331798,0.0111133319336365,NA,NA,0.732331192903481,NA,NA,0.583680409256765,0.651916594764481,NA,NA,15.5776362281489,0.112378290940218,0.225253830955393,5,1,0
"1,5-Anhydroglucitol",0.421448775662379,0.0679707185384089,NA,0.160121107375131,0.312003396465717,0.434918014954823,NA,0.540405433319073,0.189823503827468,0.455148068798247,0.777210373619134,21.3963439412816,0.259890495848656,0.424486138319474,9,0,0
"10-Heptadecenoate",4.78757735260515e-05,0.000637627609509472,NA,0.604161073080842,0.552585756894298,0.311114005328421,NA,0.0408380054783561,0.919477794744054,NA,0.269457137112679,48.325502953727,4.22192352959272e-05,0.000310980708765122,8,2,0
"10-Nonadecenoate",1.24343074712208e-05,0.026445534870994,NA,0.502327485763215,0.40135298588921,0.452127704392958,NA,0.0259101402031301,0.815308099999405,NA,0.414642291125936,44.1211517362964,0.000189059776683274,0.00107728401053488,8,1,0
"13-Hode + 9-Hode",0.281110933983422,NA,NA,0.315682002860512,0.536753355975547,0.00838720118679914,NA,0.876655742049031,0.646258570452009,NA,0.262944848824774,19.4585965092265,0.148155307421387,0.279061764082695,7,0,0
"15-Methylpalmitate (Isobar With 2-Methylpalmitate)",5.52243551843468e-06,NA,NA,0.859038236670816,NA,NA,NA,NA,0.489930793981249,NA,NA,25.9442491149692,0.000228029874161347,0.00127527818512457,3,1,0
"16-Hydroxypalmitate",0.337250536744662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17385838472414,0.337250536744662,0.504507541641445,1,0,0
"1-Arachidonoyl-Gpc* (20:4)*",0.677721011321128,NA,NA,0.342365169988913,0.660995527773505,NA,NA,0.667379602633869,NA,NA,NA,4.5586028141403,0.803541847901182,0.876063675329086,4,0,0
"1-Arachidonoyl-Gpe* (20:4)*",0.0251998541892318,9.51890294631497e-06,NA,0.419524846773338,0.146688631669397,0.196177816391656,NA,0.979858276416088,0.97263100104282,NA,0.240039201081304,42.2700166310779,0.000359614510407138,0.00188329911230559,8,1,0
"1-Arachidonoylglycerophosphoinositol",0.000267010467109197,2.31370478331883e-13,NA,0.287102679614205,NA,0.888147805494574,NA,NA,0.108351545048492,NA,0.677565215751649,82.6022701759317,1.31299902581992e-12,6.26093219680447e-11,6,2,0
