"","V2","V3"
"55577",0,"NAGK"
"5238",0,"PGM3"
"6675",-0.614037342714099,"UAP1"
"10020",-1.07261131298275,"GNE"
"54187",0,"NANS"
"10007",0,"GNPDA1"
"51005",0,"AMDHD2"
"2673",0,"GFPT1"
"64841",0.66963059250495,""
"5973",0,"RENBP"
"3073",0,"HEXA"
"1118",2.18329051051961,"CHIT1"
"3098",-0.770888780021052,"HK1"
"55907",0,"CMAS"
"1727",-0.965697084677901,"CYB5R3"
"2592",0,"GALT"
"2582",1.09341707417353,"GALE"
"7358",-0.579538582964958,"UGDH"
"80146",0,"UXS1"
"4351",0,"MPI"
"5372",0,"PMM1"
"5236",-0.775169170773854,"PGM1"
"2584",0.57272213864975,"GALK1"
"29925",0,"GMPPB"
"8790",0,"FPGT"
"197258",0,"FUK"
"2762",0,"GMDS"
"7264",0.906617387810183,"TSTA3"
"2821",0,"GPI"
"7360",-0.794025098158881,"UGP2"
"2645",-2.41951537709996,"GCK"
