"","V2","V3"
"C00122",1.97248078690823,"fumarate"
"C00042",0.730581234508486,"succinate"
"C00026",0,"alpha-ketoglutarate"
"C00041",0.98444909809028,"alanine"
"C00049",2.50908207004024,"aspartate"
"C00152",0.541706102877318,"asparagine"
"C01042",5.8980948029294,"N-acetylaspartate (NAA)"
"C00022",0,"pyruvate"
"C00025",3.13151500675629,"glutamate"
"C00334",1.34249890054634,"gamma-aminobutyrate (GABA)"
"C00064",-0.252739319987916,"glutamine"
"C12270",2.65801826505168,"N-acetyl-aspartyl-glutamate (NAAG)"
"C00158",0,"citrate"
