"","V2","V3"
"C00170",2.17060211162119,"5-methylthioadenosine (MTA)"
"C03145",0.214244292590561,"N-formylmethionine"
"C00065",1.42723925601673,"serine"
"C00155",0,"homocysteine"
"C00073",0.739119052783669,"methionine"
"C02291",4.38433746431109,"cystathionine"
"C00021",2.25633901642993,"S-adenosylhomocysteine (SAH)"
"C00019",2.53136331572409,"S-adenosylmethionine (SAM)"
"C02989",-0.675350767245787,"methionine sulfoxide"
"C00097",2.7176328409131,"cysteine"
"C00051",1.0343642149505,"glutathione, reduced (GSH)"
"C00022",0,"pyruvate"
"C00491",2.89369026507199,"cystine"
"C00049",2.50908207004024,"aspartate"
"C00041",0.98444909809028,"alanine"
