"","V2","V3"
"5160",0.221487843478281,"PDHA1"
"5105",-7.14393405743295,"PCK1"
"5313",0,"PKLR"
"231",0,"AKR1B1"
"2739",0.636251142987625,"GLO1"
"197257",-3.16757380345848,"LDHD"
"3029",0,"HAGH"
"5091",-1.0374705591168,"PC"
"4200",0.759904453086832,"ME2"
"4199",-0.610852611997261,"ME1"
"4190",0,"MDH1"
"3939",0.643860154277865,"LDHA"
"55902",-1.48731565290155,"ACSS2"
"134526",-0.464076434367732,"ACOT12"
"217",-2.11599708909376,"ALDH2"
"38",-0.872153453984286,"ACAT1"
"31",-0.401452842824468,"ACACA"
"9380",0,"GRHPR"
"1737",0,"DLAT"
"1738",-0.154933914585693,"DLD"
"97",0.466115522465683,"ACYP1"
"2271",0.802545466681883,"FH"
