"","V2","V3"
"C00258",1.29260666679945,"glycerate"
"C00114",0.534963808284231,"choline"
"C00719",1.25863460666872,"betaine"
"C00300",0,"creatine"
"C05519",1.01646730227093,"allo-threonine"
"C00049",2.22925601271037,"aspartate"
"C02291",2.70565089112089,"cystathionine"
"C00097",2.53404721731274,"cysteine"
"C00213",0,"sarcosine (N-Methylglycine)"
"C00037",1.49836794209124,"glycine"
"C00188",1.13557739514247,"threonine"
"C00065",1.36742103525723,"serine"
"C00022",0,"pyruvate"
"C00078",1.14358392463675,"tryptophan"
