"","V2","V3"
"55577",0.556968812619773,"NAGK"
"5238",0.332353863460468,"PGM3"
"6675",0.304841768790436,"UAP1"
"10020",-1.00430218716958,"GNE"
"54187",1.15292254343898,"NANS"
"140838",0,"NANP"
"10007",0.447060310609238,"GNPDA1"
"51005",0.764582874827348,"AMDHD2"
"2673",0.302754054320713,"GFPT1"
"64841",0.748803477278092,""
"5973",0,"RENBP"
"3073",0,"HEXA"
"1118",-0.63634290129075,"CHIT1"
"80896",0.265955664367496,"NPL"
"3098",0.590742649339237,"HK1"
"55907",0.235088214496007,"CMAS"
"1727",-0.861806205692562,"CYB5R3"
"2592",-0.933384089501842,"GALT"
"2582",1.56938607428851,"GALE"
"7358",0.823756896752069,"UGDH"
"80146",0.160922621688635,"UXS1"
"4351",0,"MPI"
"5372",-0.182342469810554,"PMM1"
"5236",-1.22995073796594,"PGM1"
"2584",0.592345238542464,"GALK1"
"29925",0.797005578971814,"GMPPB"
"8790",0.196104725107555,"FPGT"
"197258",0.153690835710077,"FUK"
"2762",0.48672913345095,"GMDS"
"7264",1.66216801997272,"TSTA3"
"2821",0.372497214254332,"GPI"
"7360",-1.27410944964873,"UGP2"
"2645",-1.55644041551322,"GCK"
