"","V2","V3"
"C00078",0.862496476466717,"tryptophan"
"C00082",1.39116372818957,"tyrosine"
"C00188",1.16202567895818,"threonine"
"C00123",1.31922653846339,"leucine"
"C00407",1.39405361298383,"isoleucine"
"C00047",0.977958041041079,"lysine"
"C00041",0.774132401338515,"alanine"
"C00183",1.12062635373898,"valine"
"C00073",1.40450928423678,"m ethionine"
"C00065",0.672585028919173,"serine"
"C00049",0.716003694121356,"aspartate"
"C00037",0.888137318164991,"glycine"
"C00148",1.65665892274398,"proline"
"C00097",2.96917942496188,"cysteine"
"C00025",0.875246800349357,"glutam ate"
"C00064",0,"glutam ine"
"C00062",0.924602551364297,"arginine"
"C00079",1.39102635224999,"phenylalanine"
"C00135",0.946707758744899,"histidine"
"C00152",1.09425322071342,"asparagine"
