"","V2","V3"
"63826",-1.40630090998043,"SRR"
"55349",-3.0505300690273,"CHDH"
"501",-0.892501695491797,"ALDH7A1"
"132158",-0.745217550438579,"GLYCTK"
"635",-7.93333407232879,"BHMT"
"189",-6.76178752738634,"AGXT"
"2593",-2.03690020513683,"GAMT"
"26227",-2.13712796762103,"PHGDH"
"29958",-3.82972271304014,"DMGDH"
"875",-2.13542830602665,"CBS"
"1491",-1.18071204718107,"CTH"
"2628",-4.53113810407469,"GATM"
"29968",0,"PSAT1"
"51268",-5.62789610304918,"PIPOX"
"1757",-3.24153328048401,"SARDH"
"5723",-1.26178952789094,"PSPH"
"6470",-3.9105600010526,"SHMT1"
"10993",3.67062978627344,"SDS"
"1610",-7.97565507882105,"DAO"
"23464",-0.506513088218155,"GCAT"
"2731",-8.07015476209519,"GLDC"
"211",0.870586325025595,"ALAS1"
"4128",-1.72160963994472,"MAOA"
"9380",-0.877629446112813,"GRHPR"
"314",0,"AOC2"
"275",-0.840459687641551,"AMT"
"1738",0.74328918244686,"DLD"
"27232",0,"GNMT"
"669",1.2971990942863,"BPGM"
"2653",0,"GCSH"
