"","V2","V3"
"C00078",0,"TRYPTOPHAN"
"C00082",0,"TYROSINE"
"C00188",-0.482834074292454,"THREONINE"
"C00123",0,"LEUCINE"
"C00407",0,"ISOLEUCINE"
"C00047",0,"LYSINE"
"C00041",0,"ALANINE"
"C00183",0,"VALINE"
"C00073",0,"METHIONINE"
"C00065",0,"SERINE"
"C00049",0.859355086084628,"ASPARTATE"
"C00037",-1.26282282282171,"GLYCINE"
"C00148",0,"PROLINE"
"C00097",0,"CYSTEINE"
"C00025",-0.570815268139151,"GLUTAMATE"
"C00064",1.43127592756601,"GLUTAMINE"
"C00062",0,"ARGININE"
"C00079",0,"PHENYLALANINE"
"C00135",0,"HISTIDINE"
"C00152",1.70151729370644,"ASPARAGINE"
