"","V2","V3"
"C03406",0,"argininosuccinate"
"C00327",0,"citrulline"
"C00062",0,"arginine"
"C00077",0,"ornithine"
"C00025",0,"glutamate"
"C00134",0,"putrescine"
"C00148",0,"proline"
"C01157",0.919593085559759,"trans-4-hydroxyproline"
"C00049",0,"aspartate"
"C00122",1.3263314813596,"fumarate"
"C00064",0,"glutamine"
"C00300",0,"creatine"
"C00791",0,"creatinine"
"C00213",0,"sarcosine (N-Methylglycine)"
"C00086",-0.252881335751595,"urea"
"C00431",0,"5-aminovalerate"
"C00022",0,"pyruvate"
"C00334",2.57669817681494,"gamma-aminobutyrate (GABA)"
"C00315",0,"spermidine"
"C00750",0,"spermine"
"C01035",0.871980631396298,"4-guanidinobutanoate"
