"","V2","V3"
"C00078",0,"tryptophan"
"C00082",1.07468977792659,"tyrosine"
"C00188",1.04495045068893,"threonine"
"C00123",0.874863710164268,"leucine"
"C00407",1.096589972916,"isoleucine"
"C00047",0,"lysine"
"C00041",0.670975197957466,"alanine"
"C00183",0.806204498550892,"valine"
"C00073",0.857259827649511,"m ethionine"
"C00065",0.746972767635802,"serine"
"C00049",0,"aspartate"
"C00037",0.895985062606639,"glycine"
"C00148",1.08822127507052,"proline"
"C00097",0,"cysteine"
"C00025",0.650098809010238,"glutam ate"
"C00064",0,"glutam ine"
"C00062",0,"arginine"
"C00079",0,"phenylalanine"
"C00135",0.930514899662146,"histidine"
"C00152",1.09178483929266,"asparagine"
