"","x"
"1",0
"2",-1.38613250065628
"3",-0.996312726731936
"4",-2.29764363505986
"5",-5.95501970727781
"6",0
"7",0
"8",-1.97425514289271
"9",0
"10",-2.21197179885609
"11",-2.5853632220563
"12",-4.5228600886053
"13",-3.89342318861057
"14",0
"15",0
"16",-1.94930972444879
"17",3.28835570025846
"18",-5.68591072260232
"19",-1.59624523202067
"20",-2.12954317032543
"21",-1.13366192944264
"22",-2.3346476886533
"23",-1.2280763761086
"24",0
"25",-0.802411215517083
"26",-1.37880144835911
"27",0
"28",-1.03640421462452
"29",0
