"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.8,-0.0757575757575758,5,"Glycolysis / Gluconeogenesis","Red"
"Citrate cycle (TCA cycle)",0.714285714285714,-0.3,7,"Citrate cycle (TCA cycle)","Red"
"Pentose phosphate pathway",0.875,0.214285714285714,8,"Pentose phosphate pathway","Red"
"Pentose and glucuronate interconversions",0.75,-0.176470588235294,8,"Pentose and glucuronate interconversions","Red"
"Fructose and mannose metabolism",1,0.25,7,"Fructose and mannose metabolism","Red"
"Galactose metabolism",1,0,6,"Galactose metabolism","Red"
"Ascorbate and aldarate metabolism",0.714285714285714,-0.44,7,"Ascorbate and aldarate metabolism","Red"
"Fatty acid biosynthesis",1,-0.166666666666667,6,"Fatty acid biosynthesis","Red"
"Primary bile acid biosynthesis",0.5,-0.411764705882353,8,"","Red"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.5,0,6,"","Red"
"Oxidative phosphorylation",1,0.483050847457627,5,"Oxidative phosphorylation","Red"
"Purine metabolism",0.823529411764706,0.121212121212121,17,"Purine metabolism","Red"
"Pyrimidine metabolism",0.916666666666667,0.425742574257426,12,"Pyrimidine metabolism","Red"
"Alanine, aspartate and glutamate metabolism",0.769230769230769,-0.138888888888889,13,"Alanine, aspartate and glutamate metabolism","Red"
"Glycine, serine and threonine metabolism",0.928571428571429,-0.205128205128205,14,"Glycine, serine and threonine metabolism","Red"
"Cysteine and methionine metabolism",0.8,-0.027027027027027,15,"Cysteine and methionine metabolism","Red"
"Valine, leucine and isoleucine degradation",1,-0.409090909090909,6,"Valine, leucine and isoleucine degradation","Red"
"Valine, leucine and isoleucine biosynthesis",0.875,1,8,"Valine, leucine and isoleucine biosynthesis","Red"
"Lysine degradation",0.875,-0.196078431372549,8,"Lysine degradation","Red"
"Arginine and proline metabolism",0.727272727272727,-0.0166666666666667,22,"Arginine and proline metabolism","Red"
"Histidine metabolism",0.571428571428571,-0.391304347826087,7,"","Red"
"Tyrosine metabolism",0.833333333333333,-0.314285714285714,6,"Tyrosine metabolism","Red"
"Phenylalanine metabolism",0.454545454545455,-0.277777777777778,11,"","Grey"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.833333333333333,0.4,6,"Phenylalanine, tyrosine and tryptophan biosynthesis","Red"
"beta-Alanine metabolism",0.818181818181818,-0.3,11,"beta-Alanine metabolism","Red"
"Taurine and hypotaurine metabolism",0.571428571428571,-0.2,7,"","Red"
"Cyanoamino acid metabolism",1,-0.285714285714286,9,"Cyanoamino acid metabolism","Red"
"Glutathione metabolism",0.818181818181818,-0.1,11,"Glutathione metabolism","Red"
"Starch and sucrose metabolism",0.857142857142857,-0.346153846153846,7,"Starch and sucrose metabolism","Red"
"Amino sugar and nucleotide sugar metabolism",1,0.369565217391304,9,"Amino sugar and nucleotide sugar metabolism","Red"
"Glycerolipid metabolism",0.8,-0.236363636363636,5,"Glycerolipid metabolism","Red"
"Glycerophospholipid metabolism",1,-0.0449438202247191,7,"Glycerophospholipid metabolism","Red"
"Sphingolipid metabolism",1,0.0869565217391304,6,"Sphingolipid metabolism","Red"
"Pyruvate metabolism",0.833333333333333,-0.238095238095238,6,"Pyruvate metabolism","Red"
"Glyoxylate and dicarboxylate metabolism",0.7,-0.36,10,"Glyoxylate and dicarboxylate metabolism","Red"
"Butanoate metabolism",0.777777777777778,-0.384615384615385,9,"Butanoate metabolism","Red"
"Thiamine metabolism",0.8,0.333333333333333,5,"Thiamine metabolism","Red"
"Nicotinate and nicotinamide metabolism",0.75,-0.296296296296296,8,"Nicotinate and nicotinamide metabolism","Red"
"Pantothenate and CoA biosynthesis",0.888888888888889,0.176470588235294,9,"Pantothenate and CoA biosynthesis","Red"
"Sulfur metabolism",1,0.111111111111111,5,"Sulfur metabolism","Red"
"Aminoacyl-tRNA biosynthesis",0.9,0.409090909090909,20,"Aminoacyl-tRNA biosynthesis","Red"
"Biosynthesis of unsaturated fatty acids",0.923076923076923,-0.285714285714286,13,"Biosynthesis of unsaturated fatty acids","Red"
