"","Met","Gene","MetSize","Pathway","Color"
"Pentose phosphate pathway",0.5,0.214285714285714,8,"","Red"
"Pentose and glucuronate interconversions",0.666666666666667,-0.176470588235294,6,"Pentose and glucuronate interconversions","Red"
"Fructose and mannose metabolism",0.285714285714286,0.25,7,"","Grey"
"Galactose metabolism",0.285714285714286,0,7,"","Grey"
"Fatty acid biosynthesis",-0.5,-0.166666666666667,8,"","Blue"
"Primary bile acid biosynthesis",0.166666666666667,-0.411764705882353,6,"","Grey"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.4,0,5,"","Grey"
"Oxidative phosphorylation",0.714285714285714,0.483050847457627,7,"Oxidative phosphorylation","Red"
"Purine metabolism",0.444444444444444,0.121212121212121,18,"","Grey"
"Pyrimidine metabolism",0.5,0.425742574257426,12,"","Red"
"Alanine, aspartate and glutamate metabolism",0.666666666666667,-0.138888888888889,12,"Alanine, aspartate and glutamate metabolism","Red"
"Glycine, serine and threonine metabolism",0.636363636363636,-0.205128205128205,11,"Glycine, serine and threonine metabolism","Red"
"Cysteine and methionine metabolism",0.818181818181818,-0.027027027027027,11,"Cysteine and methionine metabolism","Red"
"Valine, leucine and isoleucine degradation",0.2,-0.409090909090909,5,"","Grey"
"Valine, leucine and isoleucine biosynthesis",0.333333333333333,1,6,"Valine, leucine and isoleucine biosynthesis","Grey"
"Lysine degradation",0.714285714285714,-0.196078431372549,7,"Lysine degradation","Red"
"Arginine and proline metabolism",0.625,-0.0166666666666667,16,"Arginine and proline metabolism","Red"
"Histidine metabolism",0.5,-0.391304347826087,8,"","Red"
"Tyrosine metabolism",0.6,-0.314285714285714,5,"Tyrosine metabolism","Red"
"Phenylalanine metabolism",0.444444444444444,-0.277777777777778,9,"","Grey"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.4,0.4,5,"","Grey"
"beta-Alanine metabolism",0.8,-0.3,10,"beta-Alanine metabolism","Red"
"Taurine and hypotaurine metabolism",1,-0.2,5,"Taurine and hypotaurine metabolism","Red"
"Cyanoamino acid metabolism",1,-0.285714285714286,9,"Cyanoamino acid metabolism","Red"
"Glutathione metabolism",0.727272727272727,-0.1,11,"Glutathione metabolism","Red"
"Starch and sucrose metabolism",0.285714285714286,-0.346153846153846,7,"","Grey"
"Amino sugar and nucleotide sugar metabolism",0.375,0.369565217391304,8,"","Grey"
"Glycerophospholipid metabolism",0.75,-0.0449438202247191,8,"Glycerophospholipid metabolism","Red"
"Sphingolipid metabolism",0.6,0.0869565217391304,5,"Sphingolipid metabolism","Red"
"Pyruvate metabolism",0.8,-0.238095238095238,5,"Pyruvate metabolism","Red"
"Glyoxylate and dicarboxylate metabolism",0.555555555555556,-0.36,9,"","Red"
"Propanoate metabolism",0.6,-0.607142857142857,5,"Propanoate metabolism","Red"
"Butanoate metabolism",1,-0.384615384615385,7,"Butanoate metabolism","Red"
"Nicotinate and nicotinamide metabolism",0.8,-0.296296296296296,5,"Nicotinate and nicotinamide metabolism","Red"
"Pantothenate and CoA biosynthesis",0.777777777777778,0.176470588235294,9,"Pantothenate and CoA biosynthesis","Red"
"Sulfur metabolism",1,0.111111111111111,5,"Sulfur metabolism","Red"
"Aminoacyl-tRNA biosynthesis",0.9,0.409090909090909,20,"Aminoacyl-tRNA biosynthesis","Red"
"Biosynthesis of unsaturated fatty acids",0.642857142857143,-0.285714285714286,14,"Biosynthesis of unsaturated fatty acids","Red"
