"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.2,0,10,"","Grey"
"Citrate cycle (TCA cycle)",0.0909090909090909,0,11,"","Grey"
"Pentose phosphate pathway",0.166666666666667,0,12,"","Grey"
"Pentose and glucuronate interconversions",-0.2,0,5,"","Grey"
"Oxidative phosphorylation",0.333333333333333,0,6,"","Grey"
"Purine metabolism",0.238095238095238,0,21,"","Grey"
"Pyrimidine metabolism",0.0714285714285714,0,14,"","Grey"
"Alanine, aspartate and glutamate metabolism",0.454545454545455,0,11,"","Grey"
"Glycine, serine and threonine metabolism",0.416666666666667,0,12,"","Grey"
"Cysteine and methionine metabolism",0.583333333333333,0,12,"","Red"
"Valine, leucine and isoleucine degradation",0.5,0,6,"","Red"
"Valine, leucine and isoleucine biosynthesis",0.428571428571429,0,7,"","Grey"
"Lysine biosynthesis",0.4,0,5,"","Grey"
"Arginine and proline metabolism",0.705882352941177,0,17,"Arginine and proline metabolism","Red"
"Histidine metabolism",0.5,0,6,"","Red"
"Tyrosine metabolism",0.333333333333333,0,6,"","Grey"
"Phenylalanine metabolism",0.375,0,8,"","Grey"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.428571428571429,0,7,"","Grey"
"beta-Alanine metabolism",0.666666666666667,0,9,"beta-Alanine metabolism","Red"
"Taurine and hypotaurine metabolism",0.5,0,8,"","Red"
"Cyanoamino acid metabolism",1,0,9,"Cyanoamino acid metabolism","Red"
"Glutathione metabolism",0.692307692307692,0,13,"Glutathione metabolism","Red"
"Pyruvate metabolism",0.333333333333333,0,9,"","Grey"
"Glyoxylate and dicarboxylate metabolism",0.1875,0,16,"","Grey"
"Propanoate metabolism",0.428571428571429,0,7,"","Grey"
"Butanoate metabolism",0.375,0,8,"","Grey"
"Thiamine metabolism",0.4,0,5,"","Grey"
"Nicotinate and nicotinamide metabolism",0.166666666666667,0,6,"","Grey"
"Pantothenate and CoA biosynthesis",0.5,0,6,"","Red"
"Sulfur metabolism",0.571428571428571,0,7,"","Red"
"Aminoacyl-tRNA biosynthesis",0.95,0,20,"Aminoacyl-tRNA biosynthesis","Red"
