"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.8,-0.363636363636364,5,"Glycolysis / Gluconeogenesis","Red"
"Pentose phosphate pathway",0.222222222222222,-0.25,9,"","Grey"
"Pentose and glucuronate interconversions",0.166666666666667,-0.794117647058823,6,"Pentose and glucuronate interconversions","Grey"
"Fructose and mannose metabolism",0.875,-0.46875,8,"Fructose and mannose metabolism","Red"
"Galactose metabolism",0.714285714285714,-0.290322580645161,7,"Galactose metabolism","Red"
"Ascorbate and aldarate metabolism",0,-0.8,5,"Ascorbate and aldarate metabolism","Grey"
"Fatty acid biosynthesis",-0.5,0.5,6,"","Blue"
"Steroid hormone biosynthesis",-0.2,-0.538461538461538,5,"","Grey"
"Oxidative phosphorylation",-0.166666666666667,0.525423728813559,6,"","Grey"
"Purine metabolism",-0.0714285714285714,-0.260606060606061,14,"","Grey"
"Pyrimidine metabolism",-0.166666666666667,-0.148514851485149,12,"","Grey"
"Alanine, aspartate and glutamate metabolism",-0.166666666666667,-0.472222222222222,12,"","Grey"
"Glycine, serine and threonine metabolism",-0.166666666666667,-0.615384615384615,12,"Glycine, serine and threonine metabolism","Grey"
"Cysteine and methionine metabolism",0.222222222222222,-0.351351351351351,9,"","Grey"
"Lysine degradation",-0.4,-0.117647058823529,5,"","Grey"
"Arginine and proline metabolism",-0.2,-0.583333333333333,15,"","Grey"
"Phenylalanine metabolism",-0.428571428571429,-0.5,7,"","Grey"
"beta-Alanine metabolism",-0.25,-0.7,8,"beta-Alanine metabolism","Grey"
"Taurine and hypotaurine metabolism",-0.4,-0.2,5,"","Grey"
"Cyanoamino acid metabolism",0.111111111111111,-0.428571428571429,9,"","Grey"
"Glutathione metabolism",-0.111111111111111,-0.28,9,"","Grey"
"Starch and sucrose metabolism",0.625,-0.461538461538462,8,"Starch and sucrose metabolism","Red"
"Amino sugar and nucleotide sugar metabolism",0.75,-0.152173913043478,8,"Amino sugar and nucleotide sugar metabolism","Red"
"Glycerophospholipid metabolism",0.25,0.0224719101123595,8,"","Grey"
"Sphingolipid metabolism",0.4,-0.260869565217391,5,"","Grey"
"Pyruvate metabolism",-0.2,-0.142857142857143,5,"","Grey"
"Glyoxylate and dicarboxylate metabolism",-0.3,-0.32,10,"","Grey"
"Propanoate metabolism",0,-0.392857142857143,5,"","Grey"
"Butanoate metabolism",-0.285714285714286,-0.384615384615385,7,"","Grey"
"Nicotinate and nicotinamide metabolism",0,-0.518518518518518,5,"","Grey"
"Pantothenate and CoA biosynthesis",0,-0.411764705882353,10,"","Grey"
"Porphyrin and chlorophyll metabolism",-0.6,-0.435897435897436,5,"Porphyrin and chlorophyll metabolism","Blue"
"Aminoacyl-tRNA biosynthesis",0,0.113636363636364,20,"","Grey"
"Biosynthesis of unsaturated fatty acids",0,-0.142857142857143,14,"","Grey"
