"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.25,-0.166666666666667,8,"","Grey"
"Citrate cycle (TCA cycle)",0,-0.866666666666667,6,"Citrate cycle (TCA cycle)","Grey"
"Pentose phosphate pathway",0.1,-0.0714285714285714,10,"","Grey"
"Pentose and glucuronate interconversions",-0.111111111111111,-0.264705882352941,9,"","Grey"
"Fructose and mannose metabolism",1,-0.03125,8,"Fructose and mannose metabolism","Red"
"Galactose metabolism",0.625,-0.032258064516129,8,"Galactose metabolism","Red"
"Ascorbate and aldarate metabolism",-0.428571428571429,-0.16,7,"","Grey"
"Fatty acid biosynthesis",0.125,-0.833333333333333,8,"Fatty acid biosynthesis","Grey"
"Primary bile acid biosynthesis",0,-0.235294117647059,6,"","Grey"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.6,-0.8,5,"Ubiquinone and other terpenoid-quinone biosynthesis","Red"
"Steroid hormone biosynthesis",-0.285714285714286,-0.153846153846154,7,"","Grey"
"Oxidative phosphorylation",-0.5,-0.745762711864407,6,"Oxidative phosphorylation","Blue"
"Purine metabolism",-0.352941176470588,0.0363636363636364,17,"","Grey"
"Pyrimidine metabolism",-0.2,0.0891089108910891,15,"","Grey"
"Alanine, aspartate and glutamate metabolism",-0.307692307692308,-0.25,13,"","Grey"
"Glycine, serine and threonine metabolism",-0.444444444444444,-0.58974358974359,18,"","Grey"
"Cysteine and methionine metabolism",0.153846153846154,-0.486486486486487,13,"","Grey"
"Valine, leucine and isoleucine degradation",-0.6,-0.840909090909091,5,"Valine, leucine and isoleucine degradation","Blue"
"Valine, leucine and isoleucine biosynthesis",-0.714285714285714,0.25,7,"Valine, leucine and isoleucine biosynthesis","Blue"
"Lysine biosynthesis",0.2,-1,5,"Lysine biosynthesis","Grey"
"Lysine degradation",0,-0.254901960784314,10,"","Grey"
"Arginine and proline metabolism",0,-0.45,24,"","Grey"
"Histidine metabolism",-0.3,-0.260869565217391,10,"","Grey"
"Tyrosine metabolism",-0.428571428571429,-0.428571428571429,7,"","Grey"
"Phenylalanine metabolism",-0.7,-0.388888888888889,10,"Phenylalanine metabolism","Blue"
"Tryptophan metabolism",0,-0.5,5,"","Grey"
"Phenylalanine, tyrosine and tryptophan biosynthesis",-0.666666666666667,-0.6,6,"Phenylalanine, tyrosine and tryptophan biosynthesis","Blue"
"beta-Alanine metabolism",-0.0833333333333333,-0.366666666666667,12,"","Grey"
"Taurine and hypotaurine metabolism",0.2,-0.2,5,"","Grey"
"Cyanoamino acid metabolism",-0.888888888888889,-0.428571428571429,9,"Cyanoamino acid metabolism","Blue"
"Glutathione metabolism",0.461538461538462,-0.22,13,"","Grey"
"Starch and sucrose metabolism",0.555555555555556,0.115384615384615,9,"","Red"
"Amino sugar and nucleotide sugar metabolism",0.545454545454545,-0.0869565217391304,11,"","Red"
"Glycerolipid metabolism",-0.6,-0.327272727272727,5,"Glycerolipid metabolism","Blue"
"Glycerophospholipid metabolism",-0.25,-0.112359550561798,8,"","Grey"
"Arachidonic acid metabolism",-0.8,0.0634920634920635,5,"Arachidonic acid metabolism","Blue"
"Sphingolipid metabolism",0,-0.217391304347826,5,"","Grey"
"Pyruvate metabolism",-0.285714285714286,-0.642857142857143,7,"Pyruvate metabolism","Grey"
"Glyoxylate and dicarboxylate metabolism",-0.153846153846154,-0.8,13,"Glyoxylate and dicarboxylate metabolism","Grey"
"Propanoate metabolism",0.6,-0.785714285714286,5,"Propanoate metabolism","Red"
"Butanoate metabolism",0.285714285714286,-0.576923076923077,7,"","Grey"
"Nicotinate and nicotinamide metabolism",-0.545454545454545,-0.111111111111111,11,"","Blue"
"Pantothenate and CoA biosynthesis",-0.333333333333333,-0.352941176470588,9,"","Grey"
"Porphyrin and chlorophyll metabolism",0,0.0256410256410256,6,"","Grey"
"Sulfur metabolism",0.285714285714286,-0.666666666666667,7,"Sulfur metabolism","Grey"
"Aminoacyl-tRNA biosynthesis",-0.75,-0.227272727272727,20,"Aminoacyl-tRNA biosynthesis","Blue"
"Biosynthesis of unsaturated fatty acids",0.470588235294118,-0.333333333333333,17,"","Grey"
