"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.111111111111111,0,9,"","Grey"
"Citrate cycle (TCA cycle)",0.142857142857143,0,7,"","Grey"
"Pentose phosphate pathway",0,0,10,"","Grey"
"Pentose and glucuronate interconversions",0,0,9,"","Grey"
"Fructose and mannose metabolism",0.142857142857143,0,7,"","Grey"
"Galactose metabolism",0,0,8,"","Grey"
"Ascorbate and aldarate metabolism",-0.142857142857143,0,7,"","Grey"
"Fatty acid biosynthesis",0,0,8,"","Grey"
"Primary bile acid biosynthesis",-0.125,0,8,"","Grey"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.4,0,5,"","Grey"
"Steroid hormone biosynthesis",0,0,6,"","Grey"
"Oxidative phosphorylation",0,0,5,"","Grey"
"Purine metabolism",0.0625,0,16,"","Grey"
"Pyrimidine metabolism",0.0833333333333333,0,12,"","Grey"
"Alanine, aspartate and glutamate metabolism",0,0,14,"","Grey"
"Glycine, serine and threonine metabolism",0.0666666666666667,0,15,"","Grey"
"Cysteine and methionine metabolism",0.1,0,10,"","Grey"
"Valine, leucine and isoleucine degradation",0,0,5,"","Grey"
"Valine, leucine and isoleucine biosynthesis",0,0,7,"","Grey"
"Lysine degradation",0.125,0,8,"","Grey"
"Arginine and proline metabolism",0,0,21,"","Grey"
"Histidine metabolism",-0.142857142857143,0,7,"","Grey"
"Tyrosine metabolism",0.25,0,8,"","Grey"
"Phenylalanine metabolism",0.1,0,10,"","Grey"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.142857142857143,0,7,"","Grey"
"beta-Alanine metabolism",0.1,0,10,"","Grey"
"Taurine and hypotaurine metabolism",-0.142857142857143,0,7,"","Grey"
"Cyanoamino acid metabolism",0,0,9,"","Grey"
"Glutathione metabolism",0,0,12,"","Grey"
"Starch and sucrose metabolism",0,0,7,"","Grey"
"Amino sugar and nucleotide sugar metabolism",0,0,8,"","Grey"
"Glycerophospholipid metabolism",0.25,0,8,"","Grey"
"Pyruvate metabolism",0.285714285714286,0,7,"","Grey"
"Glyoxylate and dicarboxylate metabolism",0.0833333333333333,0,12,"","Grey"
"Propanoate metabolism",0.6,0,5,"Propanoate metabolism","Red"
"Butanoate metabolism",0.222222222222222,0,9,"","Grey"
"Thiamine metabolism",0,0,5,"","Grey"
"Nicotinate and nicotinamide metabolism",0,0,7,"","Grey"
"Pantothenate and CoA biosynthesis",0.125,0,8,"","Grey"
"Porphyrin and chlorophyll metabolism",0,0,5,"","Grey"
"Sulfur metabolism",0,0,5,"","Grey"
"Aminoacyl-tRNA biosynthesis",0,0,20,"","Grey"
"Biosynthesis of unsaturated fatty acids",0,0,16,"","Grey"
