"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.142857142857143,-0.0151515151515152,7,"","Grey"
"Citrate cycle (TCA cycle)",0,0,10,"","Grey"
"Pentose phosphate pathway",0,0,7,"","Grey"
"Pentose and glucuronate interconversions",0.166666666666667,0.0294117647058824,6,"","Grey"
"Ascorbate and aldarate metabolism",0,0.04,5,"","Grey"
"Oxidative phosphorylation",0,0,6,"","Grey"
"Purine metabolism",0.05,0,20,"","Grey"
"Pyrimidine metabolism",-0.153846153846154,0,13,"","Grey"
"Alanine, aspartate and glutamate metabolism",-0.181818181818182,-0.0277777777777778,11,"","Grey"
"Glycine, serine and threonine metabolism",-0.142857142857143,-0.0256410256410256,14,"","Grey"
"Cysteine and methionine metabolism",-0.0909090909090909,-0.027027027027027,11,"","Grey"
"Lysine biosynthesis",0,0,5,"","Grey"
"Lysine degradation",0,0,5,"","Grey"
"Arginine and proline metabolism",-0.111111111111111,0,18,"","Grey"
"Phenylalanine metabolism",0,-0.0555555555555556,7,"","Grey"
"Tryptophan metabolism",0.4,-0.05,5,"","Grey"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.125,-0.2,8,"","Grey"
"beta-Alanine metabolism",0,0,6,"","Grey"
"Taurine and hypotaurine metabolism",0.142857142857143,0,7,"","Grey"
"Cyanoamino acid metabolism",-0.125,0,8,"","Grey"
"Glutathione metabolism",0,0,9,"","Grey"
"Starch and sucrose metabolism",0,0,6,"","Grey"
"Amino sugar and nucleotide sugar metabolism",0,-0.108695652173913,7,"","Grey"
"Glycerophospholipid metabolism",-0.166666666666667,-0.0112359550561798,6,"","Grey"
"Pyruvate metabolism",0.125,0,8,"","Grey"
"Glyoxylate and dicarboxylate metabolism",-0.153846153846154,0,13,"","Grey"
"Butanoate metabolism",0,-0.0384615384615385,7,"","Grey"
"Thiamine metabolism",0,0,5,"","Grey"
"Nicotinate and nicotinamide metabolism",0.125,0,8,"","Grey"
"Pantothenate and CoA biosynthesis",0.166666666666667,0,6,"","Grey"
"Sulfur metabolism",0,0,5,"","Grey"
"Aminoacyl-tRNA biosynthesis",0,0,18,"","Grey"
