"","Met","Gene","MetSize","Pathway","Color"
"Pentose phosphate pathway",0.125,0,8,"","Grey"
"Pentose and glucuronate interconversions",0,0.0294117647058824,8,"","Grey"
"Fructose and mannose metabolism",-0.142857142857143,-0.03125,7,"","Grey"
"Galactose metabolism",-0.428571428571429,-0.032258064516129,7,"","Grey"
"Fatty acid biosynthesis",-0.875,0,8,"Fatty acid biosynthesis","Blue"
"Primary bile acid biosynthesis",0.25,0.0588235294117647,8,"","Grey"
"Purine metabolism",-0.0555555555555556,0,18,"","Grey"
"Pyrimidine metabolism",-0.166666666666667,0,12,"","Grey"
"Alanine, aspartate and glutamate metabolism",-0.5,-0.0277777777777778,12,"","Blue"
"Glycine, serine and threonine metabolism",-0.272727272727273,-0.0256410256410256,11,"","Grey"
"Cysteine and methionine metabolism",-0.166666666666667,-0.027027027027027,12,"","Grey"
"Valine, leucine and isoleucine degradation",0,-0.0227272727272727,5,"","Grey"
"Valine, leucine and isoleucine biosynthesis",0,0,6,"","Grey"
"Lysine degradation",-0.166666666666667,0,6,"","Grey"
"Arginine and proline metabolism",-0.0588235294117647,0,17,"","Grey"
"Histidine metabolism",-0.285714285714286,0,7,"","Grey"
"Tyrosine metabolism",0,-0.0285714285714286,5,"","Grey"
"Phenylalanine metabolism",-0.2,-0.0555555555555556,5,"","Grey"
"beta-Alanine metabolism",-0.222222222222222,0,9,"","Grey"
"Taurine and hypotaurine metabolism",0.166666666666667,0,6,"","Grey"
"Cyanoamino acid metabolism",-0.111111111111111,0,9,"","Grey"
"Glutathione metabolism",0.0909090909090909,0,11,"","Grey"
"Starch and sucrose metabolism",0,0,7,"","Grey"
"Amino sugar and nucleotide sugar metabolism",0,-0.108695652173913,10,"","Grey"
"Arachidonic acid metabolism",0.166666666666667,0.0158730158730159,6,"","Grey"
"Sphingolipid metabolism",0,0,5,"","Grey"
"Pyruvate metabolism",0,0,5,"","Grey"
"Glyoxylate and dicarboxylate metabolism",-0.125,0,8,"","Grey"
"Butanoate metabolism",0,-0.0384615384615385,6,"","Grey"
"Nicotinate and nicotinamide metabolism",-0.6,0,5,"Nicotinate and nicotinamide metabolism","Blue"
"Pantothenate and CoA biosynthesis",-0.125,0,8,"","Grey"
"Sulfur metabolism",0,0,6,"","Grey"
"Aminoacyl-tRNA biosynthesis",-0.2,0,20,"","Grey"
"Biosynthesis of unsaturated fatty acids",-1,0,14,"Biosynthesis of unsaturated fatty acids","Blue"
