"","Met","Gene","MetSize","Pathway","Color"
"Citrate cycle (TCA cycle)",0,0.0333333333333333,7,"","Grey"
"Fructose and mannose metabolism",0,0.21875,6,"","Grey"
"Galactose metabolism",0,-0.0967741935483871,5,"","Grey"
"Fatty acid biosynthesis",0,0.5,5,"","Grey"
"Purine metabolism",0,0.23030303030303,12,"","Grey"
"Pyrimidine metabolism",0.111111111111111,0.356435643564356,9,"","Grey"
"Alanine, aspartate and glutamate metabolism",0,0,11,"","Grey"
"Glycine, serine and threonine metabolism",0,0.0769230769230769,9,"","Grey"
"Cysteine and methionine metabolism",0.0909090909090909,0.162162162162162,11,"","Grey"
"Valine, leucine and isoleucine biosynthesis",0,0.75,5,"Valine, leucine and isoleucine biosynthesis","Grey"
"Lysine degradation",0,0.137254901960784,6,"","Grey"
"Arginine and proline metabolism",0,-0.0333333333333333,17,"","Grey"
"Histidine metabolism",0,-0.217391304347826,6,"","Grey"
"Phenylalanine metabolism",0,-0.111111111111111,5,"","Grey"
"beta-Alanine metabolism",0,0.0333333333333333,9,"","Grey"
"Taurine and hypotaurine metabolism",0,0.2,6,"","Grey"
"Cyanoamino acid metabolism",0,-0.142857142857143,9,"","Grey"
"Glutathione metabolism",0,-0.02,10,"","Grey"
"Pyruvate metabolism",0,0.0238095238095238,5,"","Grey"
"Glyoxylate and dicarboxylate metabolism",0,0.12,11,"","Grey"
"Nicotinate and nicotinamide metabolism",0,-0.185185185185185,6,"","Grey"
"Pantothenate and CoA biosynthesis",0,-0.0588235294117647,7,"","Grey"
"Sulfur metabolism",0.2,0.555555555555556,5,"","Grey"
"Aminoacyl-tRNA biosynthesis",0,0.681818181818182,19,"Aminoacyl-tRNA biosynthesis","Grey"
