"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.1,0,10,"","Grey"
"Citrate cycle (TCA cycle)",0,0,11,"","Grey"
"Pentose phosphate pathway",0.0833333333333333,0,12,"","Grey"
"Pentose and glucuronate interconversions",0,0,5,"","Grey"
"Oxidative phosphorylation",0,0,6,"","Grey"
"Purine metabolism",0.0476190476190476,0,21,"","Grey"
"Pyrimidine metabolism",0.0714285714285714,0,14,"","Grey"
"Alanine, aspartate and glutamate metabolism",0.363636363636364,0,11,"","Grey"
"Glycine, serine and threonine metabolism",0.25,0,12,"","Grey"
"Cysteine and methionine metabolism",0.0833333333333333,0,12,"","Grey"
"Valine, leucine and isoleucine degradation",0.5,0,6,"","Red"
"Valine, leucine and isoleucine biosynthesis",0.571428571428571,0,7,"","Red"
"Lysine biosynthesis",0,0,5,"","Grey"
"Arginine and proline metabolism",0.176470588235294,0,17,"","Grey"
"Histidine metabolism",0.333333333333333,0,6,"","Grey"
"Tyrosine metabolism",0.166666666666667,0,6,"","Grey"
"Phenylalanine metabolism",0.125,0,8,"","Grey"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.142857142857143,0,7,"","Grey"
"beta-Alanine metabolism",0.333333333333333,0,9,"","Grey"
"Taurine and hypotaurine metabolism",0.25,0,8,"","Grey"
"Cyanoamino acid metabolism",0.666666666666667,0,9,"Cyanoamino acid metabolism","Red"
"Glutathione metabolism",0.153846153846154,0,13,"","Grey"
"Pyruvate metabolism",0.111111111111111,0,9,"","Grey"
"Glyoxylate and dicarboxylate metabolism",0.1875,0,16,"","Grey"
"Propanoate metabolism",0.285714285714286,0,7,"","Grey"
"Butanoate metabolism",0.25,0,8,"","Grey"
"Thiamine metabolism",0.4,0,5,"","Grey"
"Nicotinate and nicotinamide metabolism",0,0,6,"","Grey"
"Pantothenate and CoA biosynthesis",0.333333333333333,0,6,"","Grey"
"Sulfur metabolism",0.142857142857143,0,7,"","Grey"
"Aminoacyl-tRNA biosynthesis",0.65,0,20,"Aminoacyl-tRNA biosynthesis","Red"
