"","Row","Column","TumorAssociation","NormalAssociation","Metabolite","Study"
"cytidine 5'-diphosphocholine",1,4,1,1,"cytidine 5'-diphosphocholine","Clear Cell
Kidney"
"erythronate*",3,4,1,1,"erythronate*","Clear Cell
Kidney"
"gamma-glutamylisoleucine*",4,4,-1,-1,"gamma-glutamylisoleucine*","Clear Cell
Kidney"
"galactose",5,4,1,1,"galactose","Clear Cell
Kidney"
"glycylleucine",7,4,1,1,"glycylleucine","Clear Cell
Kidney"
"fructose",8,4,1,1,"fructose","Clear Cell
Kidney"
"lactate",9,4,1,1,"lactate","Clear Cell
Kidney"
"isoleucine",10,4,1,1,"isoleucine","Clear Cell
Kidney"
"trans-4-hydroxyproline",11,4,1,1,"trans-4-hydroxyproline","Clear Cell
Kidney"
"tyrosine",12,4,1,1,"tyrosine","Clear Cell
Kidney"
"urea",13,4,1,1,"urea","Clear Cell
Kidney"
"pantothenate",14,4,1,1,"pantothenate","Clear Cell
Kidney"
"arginine",15,4,1,1,"arginine","Clear Cell
Kidney"
"nicotinamide",17,4,1,1,"nicotinamide","Clear Cell
Kidney"
"choline",19,4,-1,-1,"choline","Clear Cell
Kidney"
"guanosine 5'- monophosphate (5'-gmp)",37,4,-1,-1,"guanosine 5'- monophosphate (5'-gmp)","Clear Cell
Kidney"
"erythritol",39,4,1,1,"erythritol","Clear Cell
Kidney"
"aspartylphenylalanine",40,4,1,1,"aspartylphenylalanine","Clear Cell
Kidney"
"laurate (12:0)",41,4,-1,-1,"laurate (12:0)","Clear Cell
Kidney"
"phenylalanylserine",43,4,1,1,"phenylalanylserine","Clear Cell
Kidney"
"4-hydroxybutyrate (ghb)",46,4,1,1,"4-hydroxybutyrate (ghb)","Clear Cell
Kidney"
"leucine",48,4,1,1,"leucine","Clear Cell
Kidney"
"uracil",49,4,1,1,"uracil","Clear Cell
Kidney"
"caprate (10:0)",50,4,-1,-1,"caprate (10:0)","Clear Cell
Kidney"
"uridine monophosphate (5' or 3')",51,4,-1,-1,"uridine monophosphate (5' or 3')","Clear Cell
Kidney"
"glutathione, reduced (gsh)",52,4,1,1,"glutathione, reduced (gsh)","Clear Cell
Kidney"
"valylglycine",53,4,1,1,"valylglycine","Clear Cell
Kidney"
"isoleucylalanine",54,4,1,1,"isoleucylalanine","Clear Cell
Kidney"
"5,6-dihydrouracil",55,4,1,1,"5,6-dihydrouracil","Clear Cell
Kidney"
"5-oxoproline",57,4,-1,-1,"5-oxoproline","Clear Cell
Kidney"
"aspartylleucine",60,4,1,1,"aspartylleucine","Clear Cell
Kidney"
"pelargonate (9:0)",61,4,-1,-1,"pelargonate (9:0)","Clear Cell
Kidney"
"alpha-hydroxyisovalerate",62,4,1,1,"alpha-hydroxyisovalerate","Clear Cell
Kidney"
"glycylisoleucine",63,4,1,1,"glycylisoleucine","Clear Cell
Kidney"
"valylphenylalanine",68,4,1,1,"valylphenylalanine","Clear Cell
Kidney"
"valylasparagine",69,4,1,1,"valylasparagine","Clear Cell
Kidney"
"glycolate (hydroxyacetate)",70,4,-1,-1,"glycolate (hydroxyacetate)","Clear Cell
Kidney"
"lidocaine",71,4,1,1,"lidocaine","Clear Cell
Kidney"
"valylvaline",74,4,1,1,"valylvaline","Clear Cell
Kidney"
"glycylproline",75,4,1,1,"glycylproline","Clear Cell
Kidney"
"fucose",76,4,1,1,"fucose","Clear Cell
Kidney"
"leucylalanine",77,4,1,1,"leucylalanine","Clear Cell
Kidney"
"putrescine",78,4,1,1,"putrescine","Clear Cell
Kidney"
"spermidine",81,4,1,1,"spermidine","Clear Cell
Kidney"
"glucarate (saccharate)",84,4,1,1,"glucarate (saccharate)","Clear Cell
Kidney"
"alanylphenylalanine",86,4,1,1,"alanylphenylalanine","Clear Cell
Kidney"
"inositol 1-phosphate (i1p)",87,4,-1,-1,"inositol 1-phosphate (i1p)","Clear Cell
Kidney"
"leucylglycine",88,4,1,1,"leucylglycine","Clear Cell
Kidney"
"threonylleucine",89,4,1,1,"threonylleucine","Clear Cell
Kidney"
"serylleucine",90,4,1,1,"serylleucine","Clear Cell
Kidney"
"leucylglutamate",91,4,1,1,"leucylglutamate","Clear Cell
Kidney"
"13-hode + 9-hode",93,4,-1,-1,"13-hode + 9-hode","Clear Cell
Kidney"
"histidylleucine",94,4,1,1,"histidylleucine","Clear Cell
Kidney"
"n6-carbamoylthreonyladenosine",95,4,1,1,"n6-carbamoylthreonyladenosine","Clear Cell
Kidney"
"leucylserine",96,4,1,1,"leucylserine","Clear Cell
Kidney"
"n-acetylthreonine",99,4,1,1,"n-acetylthreonine","Clear Cell
Kidney"
"glycylphenylalanine",100,4,1,1,"glycylphenylalanine","Clear Cell
Kidney"
"quinate",101,4,1,1,"quinate","Clear Cell
Kidney"
"alanylleucine",102,4,1,1,"alanylleucine","Clear Cell
Kidney"
"3-(4-hydroxyphenyl)lactate",107,4,1,1,"3-(4-hydroxyphenyl)lactate","Clear Cell
Kidney"
"c-glycosyltryptophan*",108,4,1,1,"c-glycosyltryptophan*","Clear Cell
Kidney"
"acetylcarnitine",109,4,1,1,"acetylcarnitine","Clear Cell
Kidney"
"threonylphenylalanine",110,4,1,1,"threonylphenylalanine","Clear Cell
Kidney"
"serylphenyalanine",119,4,1,1,"serylphenyalanine","Clear Cell
Kidney"
"4-androsten-3beta,17beta-diol disulfate 1*",122,4,1,1,"4-androsten-3beta,17beta-diol disulfate 1*","Clear Cell
Kidney"
"methylphosphate",131,4,-1,-1,"methylphosphate","Clear Cell
Kidney"
"2-isopropylmalate",151,4,1,1,"2-isopropylmalate","Clear Cell
Kidney"
"3-ureidopropionate",153,4,1,1,"3-ureidopropionate","Clear Cell
Kidney"
"5-oxoete",154,4,-1,-1,"5-oxoete","Clear Cell
Kidney"
"alanylglutamate",155,4,1,1,"alanylglutamate","Clear Cell
Kidney"
"alanylglycine",156,4,1,1,"alanylglycine","Clear Cell
Kidney"
"alanylisoleucine",157,4,1,1,"alanylisoleucine","Clear Cell
Kidney"
"alanylmethionine",158,4,1,1,"alanylmethionine","Clear Cell
Kidney"
"alanylthreonine",159,4,1,1,"alanylthreonine","Clear Cell
Kidney"
"alanylvaline",160,4,1,1,"alanylvaline","Clear Cell
Kidney"
"alpha-glutamyltyrosine",161,4,1,1,"alpha-glutamyltyrosine","Clear Cell
Kidney"
"aspartyltryptophan",164,4,1,1,"aspartyltryptophan","Clear Cell
Kidney"
"aspartylvaline",165,4,1,1,"aspartylvaline","Clear Cell
Kidney"
"glycylmethionine",167,4,1,1,"glycylmethionine","Clear Cell
Kidney"
