"","all.combined.adjusted","tumors.combined.adjusted","normals.combined.adjusted","Significant","Significant_Tumor","Significant_normal","SigNames"
"1-stearoylglycerophosphoethanolamine",0.00091286,0.0009135184,0.2264829692,6,3,3,"BRCA.Tumor.less;BRCA.Normal.less;LGG.Tumor.less;PRADLODA.Normal.less;KIRC.Normal.greater;PRADLODA.Tumor.greater"
"spermidine",0.0297208461,0.0438043815,0.2036182302,6,4,2,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less;PRADLODA.Normal.less;LGG.Tumor.greater;PRADLODA.Tumor.greater"
"uridine",0.0231917841,0.172149832,0.2036182302,6,3,3,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less;KIRC.Normal.greater;LGG.Tumor.greater;PRAD.Normal.greater"
"uracil",0.0001750759,1e-05,0.3573534806,5,4,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRAD.Tumor.less;PRADLODA.Normal.greater"
"5,6-dihydrouracil",0.0002232008,7.48e-05,0.3163929386,5,3,2,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Normal.greater"
"beta-alanine",0.0014885502,0.0008092287,0.365512452,5,3,2,"KIRC.Normal.less;BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Normal.less;KIRC.Tumor.greater"
"3-aminoisobutyrate",0.0005038399,0.000812268,0.2036182302,5,4,1,"BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Normal.less;PRADLODA.Tumor.less;KIRC.Tumor.greater"
"linoleate (18:2n6)",0.0272959321,0.0010425165,0.0933623417,5,3,2,"BRCA.Tumor.less;LGG.Tumor.less;PRAD.Tumor.less;KIRC.Normal.greater;PRADLODA.Normal.greater"
"hypoxanthine",0.0383858512,0.0017302433,0.2524447461,5,3,2,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Tumor.less;PRAD.Normal.greater;PRADLODA.Normal.greater"
"isoleucine",0.0116037875,0.0030979262,0.4986163106,5,3,2,"KIRC.Tumor.less;BRCA.Tumor.less;BRCA.Normal.less;LGG.Tumor.less;PRADLODA.Normal.greater"
"arginine",0.0094628513,0.0061457042,0.4502216357,5,3,2,"KIRC.Tumor.less;BRCA.Tumor.less;BRCA.Normal.less;LGG.Tumor.greater;PRADLODA.Normal.greater"
