"","SigStudies","SigTissues","NumUp","PctUp","NumDown","PctDown","TotalDiff","notNA","FC.KIRC","FC.BLCA","FC.BRCA","FC.BRCATang","FC.OV","FC.PAAD","FC.PAADHussain1","FC.PAADHussain2","FC.PRAD","FC.PRADLODA","Padj.KIRC","Padj.BLCA","Padj.BRCA","Padj.BRCATang","Padj.OV","Padj.PAAD","Padj.PAADHussain1","Padj.PAADHussain2","Padj.PRAD","Padj.PRADLODA"
"glucose","KIRC;BRCA;BRCATang","Kidney;Breast",2,0.25,1,0.125,3,8,2.06332364883548,NA,0.29859731825746,-1.33144386770481,0.494260876045985,NA,-0.351814986701593,-0.27608849266953,-0.534584910249283,-0.453559563483621,2.8887215974736e-30,NA,0.0096209736160139,0.00427975250837792,0.869234643171419,NA,0.404973604945246,0.246822555667076,0.225064312069166,0.153467666745343
"glucose-6-phosphate (g6p)","KIRC;BRCA;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",4,0.5,0,0,4,8,3.22461831374798,NA,3.31723298404837,3.21716056594472,0.905304394454928,-0.60713127492641,-0.0606176259419541,0.845463595474888,NA,-0.661784941759406,5.44901332763343e-38,NA,8.33670116021645e-12,0.0118119027669488,0.315126739190083,0.554789814358141,0.733732795558006,0.0196780567258155,NA,0.143262991402896
"fructose-6-phosphate","KIRC;BRCA;BRCATang","Kidney;Breast",3,0.333333333333333,0,0,3,9,2.78394108405541,NA,3.5259500750155,4.50163425736987,0.980394736119924,-0.517382587566485,-0.227074505069666,0.490113594545914,0.197455067096037,-0.753308744984411,1.42589657137318e-36,NA,2.76022810749086e-12,0.0113337490256678,0.225693661597134,0.616824214707374,0.562852675456899,0.114953352089617,0.69446492795123,0.0650882339686921
"fructose-1,6-bisphosphate","","",0,0,0,0,0,1,NA,NA,NA,NA,NA,0.444230338109729,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94473674448756,NA,NA,NA,NA
"dihydroxyacetone phosphate (dhap)","PAAD","Pancreas",1,1,0,0,1,1,NA,NA,NA,NA,NA,0.91757703004936,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0496748012954749,NA,NA,NA,NA
"dihydroxyacetonephosphate (dhap)","","",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.0565960289790551,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989659064381345,NA
"glyceraldehyde-3-phosphate","","",0,0,0,0,0,1,NA,-0.622566469513978,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0547295412995504,NA,NA,NA,NA,NA,NA,NA,NA
"3-phosphoglycerate","KIRC;BRCA","Kidney;Breast",1,0.125,1,0.125,2,8,-0.774585123487228,NA,1.49445447092951,NA,-0.458651326897977,0.355793708257585,0.333942072436999,0.10493131819228,0.326555250587629,-0.368187423553466,6.34436087244586e-06,NA,6.71945445901699e-07,NA,0.337444250847549,0.432497938473125,0.503574950923544,0.861040925887815,0.725149489662875,0.49016940250529
"2-phosphoglycerate","KIRC","Kidney",0,0,1,0.333333333333333,1,3,-0.739369536835049,NA,NA,NA,-0.367398309187403,NA,0.459485777620026,NA,NA,NA,0.00235600516301505,NA,NA,NA,0.333699371175054,NA,0.429565851385565,NA,NA,NA
"phosphoenolpyruvate (pep)","KIRC;BRCA","Kidney;Breast",1,0.2,1,0.2,2,5,-1.4635662548219,NA,1.82752746613361,NA,-0.152680264019779,0.344352452316815,NA,NA,0.541885266870483,NA,1.88194210063023e-14,NA,4.12476954575755e-07,NA,0.355077109644624,0.305453005685042,NA,NA,0.714007004855993,NA
"lactate","KIRC;BRCA;BRCATang;OV;PAADHussain2;PRAD","Kidney;Breast;Ovary;Pancreas;Prostate",6,0.666666666666667,0,0,6,9,0.574045063135391,NA,2.06792253564637,2.17414122414148,0.711716200483032,0.318540175411568,0.195843474201459,0.580830741187934,0.382299374286306,-0.217109847223645,1.386282324097e-08,NA,7.35419705435617e-14,0.000560973074716203,0.00255374704992002,0.179007364550895,0.503643443592885,0.00413786225841686,0.0344695665115595,0.248784728804053
"citrate","KIRC;BRCA;PAADHussain1;PRAD;PRADLODA","Kidney;Breast;Pancreas;Prostate",3,0.333333333333333,2,0.222222222222222,5,9,1.7240791016932,NA,0.467596960394587,0.37161187376543,2.00636801735633,-0.371833162475639,2.0956492822814,0.0115247391442804,-1.61230364154362,-0.55704005140684,1.81617747472873e-24,NA,0.000294637199177875,0.649812218826031,0.0724701566742402,0.808113062620633,0.0264123402010969,0.675126533605234,0.00526969970948041,0.0445175769258742
"cis-aconitate","KIRC;PRAD;PRADLODA","Kidney;Prostate",1,0.25,2,0.5,3,4,1.11373331390081,NA,NA,NA,NA,-0.226765626319182,NA,NA,-1.11529427350814,-0.702145239545118,2.75225515671926e-17,NA,NA,NA,NA,0.925595586434772,NA,NA,0.0372145615169862,0.00599914748165765
"succinate","KIRC;BRCA;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",3,0.333333333333333,1,0.111111111111111,4,9,1.00305880145644,NA,0.811807552836779,2.44339665569151,0.282728142541936,-0.347847821317661,-1.07004226906534,-1.61133809295732,-0.709254839028024,0.0853518326396524,6.48933268813705e-06,NA,4.42079968087154e-05,0.00128124686577168,0.922225553889722,0.808113062620633,0.151956369647701,0.000537541596058494,0.714007004855993,0.831505756078788
"fumarate","KIRC;BRCA;BRCATang;OV;PAADHussain1;PRAD","Kidney;Breast;Ovary;Pancreas;Prostate",4,0.444444444444444,2,0.222222222222222,6,9,-1.7788291531889,NA,1.58468033969446,3.51476821875479,1.3263314813596,-0.534816604900072,-1.24194945579133,-0.771467945279835,1.25296790288442,0.307004990262413,9.84037200771521e-30,NA,7.59591511994566e-09,0.000162635051073185,0.00828297630633305,0.263442514888988,0.0475753764327604,0.0777186967443428,0.000640797028920186,0.37214474008525
"malate","KIRC;BRCA;BRCATang;OV;PRAD","Kidney;Breast;Ovary;Prostate",4,0.444444444444444,1,0.111111111111111,5,9,-1.02794026518879,NA,2.39802902008658,3.70856402092653,1.33192758025163,-0.664254321234965,-0.882239903829776,-0.839571801984262,0.775780354882584,0.265613415676634,3.0884205900401e-21,NA,4.56313268676146e-13,0.000162635051073185,0.000907488839312401,0.263442514888988,0.0715096373014433,0.109554039334771,0.000366132078736643,0.180886462677498
"alpha-ketoglutarate","","",0,0,0,0,0,6,NA,NA,0.586032405148125,NA,1.28363041802821,0.114337937465884,0.328218614628137,NA,0.307424500875799,0.327456138632387,NA,NA,0.0760367261043454,NA,0.394756260279522,0.849659750544624,0.242934449430939,NA,0.140202608345796,0.375405930122972
"glutamate","KIRC;BRCA;BRCATang;PRAD","Kidney;Breast;Prostate",4,0.444444444444444,0,0,4,9,0.591202859054313,NA,2.74483181439715,4.05526831892081,0.431312943757782,0.163720569381535,-0.554673673710416,-0.274842520450139,0.955614906846124,-0.0102219383145215,5.44269304613022e-20,NA,7.21474440301276e-14,0.000162635051073185,0.188932724761144,0.62512358019715,0.149374954398268,0.216399244253494,0.000315477655966699,0.782858985630941
"glutamine","KIRC;OV;PAAD;PRADLODA","Kidney;Ovary;Pancreas;Prostate",2,0.222222222222222,2,0.222222222222222,4,9,0.452280577422242,NA,-0.141561314121494,0.148449303685274,0.804897966966347,-0.598856418900099,-0.0961011927262895,-0.255560091058997,0.562359621522039,-0.456821007568892,7.86695610008279e-13,NA,0.069528463598189,0.751381847933572,0.0418408977329517,0.00336873956018029,0.290244780291047,0.114157598749028,0.279777382766666,0.0161457070354965
