"","KIRC","BLCA","BRCA","BRCATang","OV","PAAD","PAADHussain1","PAADHussain2","PRAD","PRADLODA"
"1,2-propanediol",0,NA,NA,0,0,NA,NA,1,NA,NA
"1,3-dihydroxyacetone",0,NA,0,NA,NA,NA,0,0,NA,NA
"1,5-anhydroglucitol (1,5-ag)",0,NA,1,0,1,NA,0,0,0,0
"10-heptadecenoate (17:1n7)",1,NA,1,0,0,NA,0,-1,NA,0
"10-nonadecenoate (19:1n9)",1,NA,1,0,0,NA,-1,-1,NA,1
"13-hode + 9-hode",0,NA,NA,0,1,NA,-1,-1,NA,0
"15-methylpalmitate (isobar with 2-methylpalmitate)",1,NA,NA,0,NA,NA,NA,-1,NA,NA
"16-hydroxypalmitate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-arachidonoylglycerophosphocholine*",-1,NA,NA,0,NA,NA,0,NA,NA,NA
"1-arachidonoylglycerophosphoethanolamine*",-1,NA,1,1,-1,NA,0,0,NA,0
"1-arachidonoylglycerophosphoinositol*",-1,NA,1,1,0,NA,NA,0,NA,0
"1-arachidonylglycerol",0,NA,NA,NA,NA,NA,NA,NA,NA,0
"1-docosahexaenoylglycerophosphocholine*",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-heptadecanoylglycerophosphocholine",-1,NA,NA,0,NA,NA,0,0,NA,NA
"1-heptadecanoylglycerophosphoethanolamine*",-1,NA,NA,NA,NA,NA,NA,0,NA,0
"1-linoleoylglycerol (1-monolinolein)",1,NA,NA,0,NA,NA,NA,NA,NA,0
"1-linoleoylglycerophosphocholine",-1,NA,1,0,0,NA,0,0,NA,0
"1-linoleoylglycerophosphoethanolamine*",-1,NA,NA,0,NA,NA,NA,NA,NA,1
"1-methylimidazoleacetate",-1,NA,0,NA,-1,NA,0,NA,NA,NA
"1-myristoylglycerophosphocholine",-1,NA,1,0,0,NA,0,0,NA,1
"1-myristoylglycerophosphoethanolamine",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-oleoylglycerol (1-monoolein)",1,NA,1,0,0,NA,-1,NA,NA,NA
"1-oleoylglycerophosphocholine",-1,NA,1,0,0,NA,0,0,NA,0
"1-oleoylglycerophosphoethanolamine",-1,NA,1,1,0,NA,0,-1,NA,0
"1-oleoylglycerophosphoinositol*",-1,NA,NA,NA,NA,NA,0,-1,NA,0
"1-oleoylglycerophosphoserine",-1,NA,NA,NA,NA,NA,NA,NA,NA,1
"1-palmitoleoylglycerophosphocholine*",-1,NA,NA,0,0,NA,0,0,NA,NA
"1-palmitoleoylglycerophosphoethanolamine*",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-palmitoylglycerol (1-monopalmitin)",-1,NA,1,0,0,NA,NA,-1,NA,0
"1-palmitoylglycerophosphocholine",-1,NA,1,0,0,NA,0,0,NA,0
"1-palmitoylglycerophosphoethanolamine",-1,NA,NA,1,0,NA,0,-1,NA,0
"1-palmitoylglycerophosphoinositol*",-1,NA,NA,1,0,NA,0,-1,NA,0
"1-palmitoylplasmenylethanolamine*",-1,NA,NA,1,NA,NA,0,-1,NA,NA
"1-pentadecanoylglycerophosphocholine*",-1,NA,NA,NA,NA,NA,0,0,NA,NA
"1-stearoylglycerol (1-monostearin)",-1,NA,1,0,0,NA,-1,-1,NA,0
"1-stearoylglycerophosphocholine",-1,NA,1,0,0,NA,0,0,NA,0
"1-stearoylglycerophosphoethanolamine",-1,NA,1,1,0,NA,0,-1,NA,0
"1-stearoylglycerophosphoinositol",-1,NA,1,1,0,NA,0,-1,NA,1
"2-aminoadipate",1,NA,1,1,0,0,0,0,0,1
"2-aminobutyrate",1,NA,1,1,1,NA,0,0,NA,0
"2-arachidonoylglycerophosphocholine*",0,NA,1,0,0,NA,0,0,NA,0
"2-arachidonoylglycerophosphoethanolamine*",-1,NA,1,1,-1,NA,0,0,NA,0
"2'-deoxyadenosine 3'-monophosphate",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2'-deoxycytidine 3'-monophosphate",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2'-deoxyguanosine",0,NA,1,0,0,NA,0,0,NA,NA
"2'-deoxyinosine",0,NA,1,1,1,NA,0,0,NA,-1
"2-docosahexaenoylglycerophosphocholine*",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-docosahexaenoylglycerophosphoethanolamine*",0,NA,1,0,0,NA,NA,NA,NA,0
"2-docosapentaenoylglycerophosphocholine*",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-docosapentaenoylglycerophosphoethanolamine*",1,NA,1,NA,0,NA,NA,0,NA,0
"2-eicosatrienoylglycerophosphocholine*",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-ethylhexanoate",-1,NA,NA,-1,NA,NA,NA,NA,NA,-1
"2-hydroxyacetaminophen sulfate*",-1,NA,0,0,0,NA,0,NA,NA,0
"2-hydroxybutyrate (ahb)",0,0,1,0,1,NA,0,1,1,0
"2-hydroxyglutarate",1,NA,1,1,1,NA,NA,NA,NA,0
"2-hydroxyhippurate (salicylurate)",-1,NA,0,0,NA,NA,NA,NA,NA,-1
"2-hydroxyisobutyrate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-hydroxypalmitate",1,NA,1,0,0,NA,0,0,NA,0
"2-isopropylmalate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-linoleoylglycerol (2-monolinolein)",1,NA,NA,NA,0,NA,0,-1,NA,NA
"2-linoleoylglycerophosphocholine*",0,NA,1,0,0,NA,0,0,NA,0
"2-linoleoylglycerophosphoethanolamine*",-1,NA,1,1,0,NA,NA,0,NA,NA
"2-methoxyacetaminophen sulfate*",0,NA,0,0,0,NA,0,NA,NA,-1
"2-methylbutyroylcarnitine",-1,NA,1,1,1,NA,0,1,NA,0
"2-myristoylglycerophosphocholine*",1,NA,1,0,NA,NA,NA,NA,NA,NA
"2-oleoylglycerol (2-monoolein)",1,NA,0,NA,0,NA,-1,-1,NA,NA
"2-oleoylglycerophosphocholine*",-1,NA,1,0,0,NA,0,0,NA,0
"2-oleoylglycerophosphoethanolamine*",-1,NA,1,1,0,NA,0,-1,NA,0
"2-oleoylglycerophosphoserine*",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-palmitoleoylglycerophosphocholine*",1,NA,1,0,NA,NA,NA,NA,NA,NA
"2-palmitoylglycerol (2-monopalmitin)",0,NA,1,0,0,NA,-1,-1,NA,0
"2-palmitoylglycerophosphocholine*",0,NA,1,0,0,NA,0,0,NA,0
"2-palmitoylglycerophosphoethanolamine*",-1,NA,NA,1,0,NA,0,-1,NA,0
"2-phosphoglycerate",-1,NA,NA,NA,0,NA,0,NA,NA,NA
"2-stearoylglycerophosphocholine*",-1,NA,NA,0,NA,NA,0,0,NA,NA
"2-stearoylglycerophosphoethanolamine*",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-(4-hydroxyphenyl)lactate",1,NA,1,0,1,NA,0,1,NA,0
"3-(cystein-s-yl)acetaminophen*",-1,NA,NA,0,0,NA,0,NA,NA,0
"3-(n-acetyl-l-cystein-s-yl) acetaminophen*",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxyphenethyleneglycol",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-aminoisobutyrate",1,NA,1,1,1,NA,NA,0,NA,0
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)",0,NA,0,0,0,NA,0,0,NA,-1
"3-dehydrocarnitine*",0,NA,1,1,1,NA,0,0,NA,0
"3'-dephosphocoenzyme a",-1,NA,NA,0,NA,NA,NA,0,NA,-1
"3-hydroxybutyrate (bhba)",0,NA,1,1,1,NA,0,0,NA,0
"3-hydroxydecanoate",-1,NA,0,NA,NA,NA,NA,NA,NA,NA
"3-hydroxyhippurate",-1,NA,NA,0,NA,NA,NA,NA,NA,NA
"3-hydroxyoctanoate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-indoxyl sulfate",-1,NA,NA,-1,0,NA,NA,1,NA,0
"3-methyl-2-oxovalerate",0,NA,1,-1,0,NA,0,0,NA,NA
"3-methylhistidine",-1,NA,1,0,NA,NA,NA,-1,1,-1
"3-phosphoglycerate",-1,NA,1,NA,0,0,0,0,0,0
"3-ureidopropionate",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"4-acetamidophenol",0,NA,NA,0,0,NA,0,NA,NA,0
"4-acetaminophen sulfate",0,NA,0,0,0,NA,0,NA,NA,0
"4-androsten-3beta,17beta-diol disulfate 1*",0,NA,0,0,0,NA,0,0,NA,-1
"4-guanidinobutanoate",0,NA,NA,NA,1,NA,0,NA,0,NA
"4-hydroxybutyrate (ghb)",1,NA,1,1,0,NA,0,1,NA,0
"4-hydroxyglutamate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-hydroxyhippurate",-1,NA,NA,NA,NA,NA,0,NA,NA,NA
"4-hydroxyphenylacetate",-1,NA,NA,NA,0,NA,0,NA,NA,NA
"4-methyl-2-oxopentanoate",0,NA,1,-1,0,NA,0,0,1,NA
"5,6-dihydrouracil",1,NA,1,1,1,NA,0,0,1,0
"5-aminovalerate",1,NA,0,NA,0,NA,0,NA,NA,NA
"5-hete",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5-methyltetrahydrofolate (5methf)",-1,NA,NA,1,NA,NA,NA,NA,NA,NA
"5-methylthioadenosine (mta)",1,NA,1,1,NA,NA,NA,-1,0,0
"5-methyluridine (ribothymidine)",-1,NA,NA,0,0,NA,NA,NA,NA,NA
"5-oxoete",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5-oxoproline",-1,NA,1,1,0,NA,0,0,NA,1
"6-keto prostaglandin f1alpha",-1,NA,NA,NA,NA,NA,0,0,NA,NA
"6-phosphogluconate",1,NA,1,1,-1,0,0,0,0,-1
"6'-sialyllactose",1,NA,NA,1,NA,NA,NA,NA,NA,NA
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca)",1,NA,1,0,0,NA,NA,1,NA,0
"7-alpha-hydroxycholesterol",0,NA,NA,NA,0,NA,NA,NA,NA,NA
"7-beta-hydroxycholesterol",1,NA,0,NA,0,NA,NA,NA,NA,NA
"acetylcarnitine",1,NA,1,1,1,0,1,1,NA,0
"ac-ser-asp-lys-pro-oh",1,NA,NA,1,NA,NA,NA,1,NA,NA
"adenine",0,NA,1,1,0,NA,NA,0,0,1
"adenosine",-1,-1,1,1,0,0,0,0,-1,0
"adenosine 2'-monophosphate (2'-amp)",-1,NA,1,1,0,NA,0,-1,NA,NA
"adenosine 3'-monophosphate (3'-amp)",-1,NA,1,1,0,NA,0,0,NA,NA
"adenosine 5'-monophosphate (amp)",1,NA,1,1,1,NA,0,0,NA,0
"adenylosuccinate",-1,NA,NA,1,NA,NA,0,-1,NA,NA
"adipate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adrenate (22:4n6)",0,NA,1,1,0,NA,0,-1,NA,0
"agmatine",0,NA,NA,1,NA,NA,NA,NA,NA,0
"alanine",-1,-1,1,1,0,0,0,-1,1,0
"alanylalanine",0,NA,NA,NA,0,NA,NA,NA,0,NA
"alanylglutamate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alanylglycine",0,NA,NA,NA,NA,NA,0,NA,NA,NA
