"","StromalScore","ImmuneScore","ESTIMATEScore","APM1","APM2","Angiogenesis","B.cells","CD8.T.cells","CTLA4","Cytotoxic.cells","DC","Eosinophils","Macrophages","Mast.cells","NK.CD56bright.cells","NK.CD56dim.cells","NK.cells","Neutrophils","PD1","PDL1","T.cells","T.helper.cells","Tcm.cells","Tem.cells","Tfh.cells","Tgd.cells","Th1.cells","Th17.cells","Th2.cells","Treg.cells"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*",0.363636363636364,-0.145454545454545,0.163636363636364,0.272727272727273,-0.263636363636364,0.345454545454545,-0.190909090909091,0.354545454545455,-0.118181818181818,0.418181818181818,-0.109090909090909,0.136363636363636,0.109090909090909,0.581818181818182,-0.190909090909091,0.363636363636364,0.5,0.718181818181818,-0.0272727272727273,0.381818181818182,-0.172727272727273,-0.590909090909091,-0.527272727272727,-0.209090909090909,0.127272727272727,0.109090909090909,0.0909090909090909,0.145454545454545,-0.254545454545455,0.209090909090909
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",0.263636363636364,-0.318181818181818,0.00909090909090909,0.0363636363636364,-0.00909090909090909,0.109090909090909,-0.4,0,-0.390909090909091,0.518181818181818,-0.172727272727273,0.318181818181818,0.118181818181818,-0.281818181818182,0.290909090909091,0.190909090909091,0.627272727272727,0.445454545454545,-0.245454545454545,-0.218181818181818,-0.245454545454545,-0.572727272727273,-0.5,0,-0.154545454545455,0.290909090909091,0.318181818181818,0.318181818181818,-0.436363636363636,-0.0181818181818182
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",0.536363636363636,-0.0909090909090909,0.318181818181818,0.336363636363636,0.218181818181818,0.372727272727273,-0.272727272727273,0.381818181818182,-0.218181818181818,0.790909090909091,-0.145454545454545,0.181818181818182,0.0636363636363636,0.181818181818182,0.172727272727273,0.272727272727273,0.609090909090909,0.790909090909091,-0.0181818181818182,0.218181818181818,0.0454545454545455,-0.445454545454545,-0.481818181818182,0.0818181818181818,0.2,0.454545454545455,0.445454545454545,0.345454545454545,-0.518181818181818,-0.00909090909090909
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",0.290909090909091,-0.236363636363636,0.0727272727272727,0.154545454545455,-0.181818181818182,0.309090909090909,-0.163636363636364,0.172727272727273,-0.272727272727273,0.527272727272727,-0.118181818181818,0.318181818181818,0.0545454545454545,0.381818181818182,-0.154545454545455,0.272727272727273,0.545454545454545,0.8,-0.154545454545455,0.3,-0.290909090909091,-0.636363636363636,-0.563636363636364,-0.118181818181818,0.0545454545454545,0.145454545454545,0.163636363636364,0.209090909090909,-0.327272727272727,-0.0181818181818182
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*",0.418181818181818,-0.245454545454545,0.163636363636364,0,-0.272727272727273,0.418181818181818,-0.236363636363636,0.236363636363636,-0.227272727272727,0.454545454545455,-0.190909090909091,0.281818181818182,0.163636363636364,0.318181818181818,-0.0454545454545455,0.409090909090909,0.845454545454546,0.663636363636364,-0.2,-0.0818181818181818,-0.227272727272727,-0.618181818181818,-0.590909090909091,-0.0454545454545455,-0.236363636363636,0.3,0.218181818181818,0.272727272727273,-0.381818181818182,-0.118181818181818
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",0.0454545454545455,-0.0818181818181818,0.00909090909090909,-0.109090909090909,-0.0181818181818182,0.00909090909090909,0.00909090909090909,0.0272727272727273,-0.0363636363636364,0.345454545454545,0.109090909090909,0.154545454545455,0.0272727272727273,-0.0272727272727273,-0.327272727272727,0.3,0.618181818181818,0.409090909090909,0,0.00909090909090909,-0.181818181818182,-0.381818181818182,-0.390909090909091,-0.00909090909090909,-0.0181818181818182,0.281818181818182,-0.00909090909090909,0.181818181818182,-0.181818181818182,-0.154545454545455
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*",0.412861411922385,0.0366987921708787,0.321114431495189,0.0733975843417574,0.119271074555356,0.220192753025272,-0.220192753025272,0.26606624323887,-0.0366987921708787,0.211018054982552,-0.0458734902135984,-0.137620470640795,-0.0642228862990377,-0.0183493960854393,-0.0917469804271967,0.211018054982552,0.605530070819498,0.110096376512636,0.110096376512636,-0.174319262811674,0.137620470640795,-0.146795168683515,-0.366987921708787,0.28441563932431,0,0.504608392349582,0.155969866726234,0.183493960854393,-0.330289129537908,-0.00917469804271967
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*",0.0272727272727273,0.418181818181818,0.245454545454545,0.0272727272727273,0.209090909090909,-0.345454545454545,0.181818181818182,0.245454545454545,0.636363636363636,0.118181818181818,0.5,-0.527272727272727,-0.00909090909090909,0.0545454545454545,-0.418181818181818,0.163636363636364,0.190909090909091,-0.0909090909090909,0.509090909090909,0.209090909090909,0.290909090909091,0.1,0.172727272727273,0.0272727272727273,0.590909090909091,0.345454545454545,-0.209090909090909,-0.263636363636364,0.163636363636364,0.363636363636364
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",0.5,-0.00909090909090909,0.354545454545455,0.363636363636364,0.354545454545455,0.0909090909090909,-0.245454545454545,0.318181818181818,-0.0909090909090909,0.845454545454546,0.0545454545454545,0.0363636363636364,0.209090909090909,-0.0727272727272727,0.327272727272727,0.209090909090909,0.436363636363636,0.545454545454545,0.0909090909090909,0.127272727272727,0.172727272727273,-0.318181818181818,-0.236363636363636,0.127272727272727,0.372727272727273,0.481818181818182,0.481818181818182,0.163636363636364,-0.309090909090909,0.181818181818182
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",0.136363636363636,0.327272727272727,0.245454545454545,0.290909090909091,0.190909090909091,-0.0818181818181818,0.145454545454545,0.345454545454545,0.381818181818182,0.354545454545455,0.318181818181818,-0.309090909090909,-0.1,0.390909090909091,-0.272727272727273,0.0818181818181818,0.0454545454545455,0.390909090909091,0.381818181818182,0.627272727272727,0.172727272727273,-0.0818181818181818,0.0363636363636364,-0.0454545454545455,0.718181818181818,0.227272727272727,-0.00909090909090909,-0.190909090909091,-0.0272727272727273,0.327272727272727
