"","StromalScore","ImmuneScore","ESTIMATEScore","APM1","APM2","Angiogenesis","B.cells","CD8.T.cells","CTLA4","Cytotoxic.cells","DC","Eosinophils","Macrophages","Mast.cells","NK.CD56bright.cells","NK.CD56dim.cells","NK.cells","Neutrophils","PD1","PDL1","T.cells","T.helper.cells","Tcm.cells","Tem.cells","Tfh.cells","Tgd.cells","Th1.cells","Th17.cells","Th2.cells","Treg.cells"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*",0.273172593057827,0.673423202665486,0.633869587610079,0.418166994020657,0.434522554208938,0.299387684486895,0.576257826919622,0.286102697970978,0.734251788754801,0.203068420186092,0.754880444355198,0.693511174791049,0.754880444355198,0.0655332271928348,0.576257826919622,0.273172593057827,0.12142915576969,0.0167992340927046,0.945983670156841,0.248380568071137,0.614426013724972,0.0607282533857394,0.100128813234869,0.539113807034715,0.713791318994479,0.754880444355198,0.796592401118968,0.673423202665486,0.451196804369117,0.539113807034715
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",0.434522554208937,0.341354869770817,0.989189709913342,0.924426257832482,0.989189709913342,0.754880444355198,0.225014088667236,1,0.236519264676913,0.106918151178142,0.614426013724972,0.341354869770817,0.734251788754801,0.402135894917861,0.386434553629285,0.576257826919622,0.0439890872097468,0.172786506584626,0.468183503088794,0.520948935577084,0.468183503088794,0.0706011110697353,0.12142915576969,1,0.653538937959264,0.386434553629285,0.341354869770817,0.341354869770817,0.182531860964529,0.967576156202937
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",0.0936424967223945,0.796592401118967,0.341354869770817,0.313026082995925,0.520948935577084,0.260598370671166,0.418166994020656,0.248380568071137,0.520948935577084,0.00606083055140366,0.673423202665486,0.59521871798588,0.860103507719015,0.59521871798588,0.614426013724972,0.418166994020657,0.0518776080763114,0.00606083055140366,0.967576156202937,0.520948935577084,0.902917866811604,0.172786506584626,0.137219212931031,0.817650128521417,0.557553078061045,0.163386034746161,0.172786506584626,0.299387684486895,0.106918151178142,0.989189709913342
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",0.386434553629285,0.485475943733222,0.83882493483871,0.653538937959263,0.59521871798588,0.356039941834194,0.633869587610079,0.614426013724972,0.418166994020656,0.100128813234869,0.734251788754801,0.341354869770817,0.881472363014635,0.248380568071137,0.653538937959264,0.418166994020657,0.0874530601806711,0.00520150247761827,0.653538937959264,0.371067789395025,0.386434553629285,0.0403864039827663,0.0759390758518602,0.734251788754801,0.881472363014635,0.673423202665486,0.633869587610079,0.539113807034715,0.327015951002671,0.967576156202937
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*",0.203068420186092,0.468183503088794,0.633869587610079,1,0.418166994020656,0.203068420186092,0.485475943733222,0.485475943733222,0.503066960517545,0.163386034746161,0.576257826919622,0.402135894917861,0.633869587610079,0.341354869770817,0.902917866811604,0.213864224336727,0.00207768789039524,0.0308508738328496,0.557553078061045,0.817650128521416,0.503066960517545,0.0478169053553035,0.0607282533857394,0.902917866811604,0.485475943733222,0.371067789395025,0.520948935577084,0.418166994020657,0.248380568071136,0.734251788754801
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",0.902917866811604,0.817650128521416,0.989189709913342,0.754880444355198,0.967576156202937,0.989189709913342,0.989189709913342,0.945983670156841,0.924426257832482,0.299387684486895,0.754880444355198,0.653538937959263,0.945983670156841,0.945983670156841,0.327015951002671,0.371067789395025,0.0478169053553036,0.213864224336727,1,0.989189709913342,0.59521871798588,0.248380568071136,0.236519264676913,0.989189709913342,0.967576156202937,0.402135894917861,0.989189709913342,0.59521871798588,0.59521871798588,0.653538937959264
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*",0.206950859253418,0.914691642648627,0.335615441939357,0.830184743518939,0.726871690939348,0.515307485611686,0.515307485611686,0.429054848700468,0.914691642648627,0.533389658788904,0.893458705879011,0.686570584150372,0.851192958941081,0.957295539966406,0.788478313421582,0.533389658788904,0.0483518642946536,0.747264597168345,0.747264597168345,0.608212031580995,0.686570584150372,0.666684498280762,0.266911027331621,0.396630800290556,1,0.113428868455796,0.646989097896852,0.589150557249191,0.321189258134261,0.97864147885784
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*",0.945983670156841,0.203068420186092,0.468183503088795,0.945983670156841,0.539113807034715,0.299387684486896,0.59521871798588,0.468183503088795,0.0403864039827663,0.734251788754801,0.12142915576969,0.100128813234869,0.989189709913342,0.881472363014635,0.203068420186092,0.633869587610079,0.576257826919622,0.796592401118967,0.114016394963896,0.539113807034715,0.386434553629285,0.775664871585324,0.614426013724972,0.945983670156841,0.0607282533857394,0.299387684486895,0.539113807034715,0.434522554208938,0.633869587610079,0.273172593057827
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",0.12142915576969,0.989189709913342,0.286102697970978,0.273172593057827,0.286102697970978,0.796592401118968,0.468183503088794,0.341354869770817,0.796592401118967,0.00207768789039524,0.881472363014635,0.924426257832482,0.539113807034715,0.83882493483871,0.327015951002671,0.539113807034715,0.182531860964529,0.0874530601806711,0.796592401118968,0.713791318994479,0.614426013724972,0.341354869770817,0.485475943733222,0.713791318994479,0.260598370671166,0.137219212931031,0.137219212931031,0.633869587610079,0.356039941834193,0.59521871798588
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",0.693511174791049,0.327015951002671,0.468183503088795,0.386434553629285,0.576257826919622,0.817650128521416,0.673423202665486,0.299387684486895,0.248380568071137,0.286102697970978,0.341354869770817,0.356039941834193,0.775664871585324,0.236519264676913,0.418166994020656,0.817650128521417,0.902917866811604,0.236519264676913,0.248380568071137,0.0439890872097468,0.614426013724972,0.817650128521416,0.924426257832482,0.902917866811604,0.0167992340927046,0.503066960517545,0.989189709913342,0.576257826919622,0.945983670156841,0.327015951002671
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)",0.796592401118967,0.106918151178142,0.59521871798588,0.485475943733222,0.273172593057827,0.299387684486896,0.418166994020657,0.371067789395025,0.0561788662417929,0.520948935577084,0.12916175578724,0.12142915576969,0.633869587610079,0.713791318994479,0.451196804369117,0.945983670156841,0.754880444355198,0.734251788754801,0.0815541216928155,0.0607282533857394,0.371067789395025,0.653538937959263,0.418166994020657,0.902917866811604,0.00373447055331856,0.451196804369117,0.775664871585324,0.434522554208938,0.83882493483871,0.273172593057827
"1-(1-enyl-stearoyl)-GPE (P-18:0)*",0.557553078061045,0.0874530601806711,0.145606226031775,0.386434553629285,0.0308508738328496,0.386434553629285,0.371067789395025,0.260598370671166,0.12916175578724,0.0759390758518602,0.0655332271928348,0.12916175578724,0.881472363014635,0.653538937959264,0.860103507719015,0.653538937959263,0.673423202665486,0.860103507719015,0.0518776080763114,0.418166994020657,0.0874530601806711,0.402135894917861,0.434522554208937,0.286102697970978,0.0133753659145312,0.0370010457545527,0.468183503088795,0.557553078061045,0.796592401118968,0.673423202665486
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.0439890872097468,0.989189709913342,0.172786506584626,0.673423202665486,0.520948935577084,0.313026082995925,0.451196804369117,0.225014088667236,0.989189709913342,0.0230588742090162,0.860103507719015,0.989189709913342,0.734251788754801,0.754880444355198,0.673423202665486,0.371067789395025,0.00701211291358369,0.0874530601806711,0.902917866811604,0.796592401118967,0.59521871798588,0.356039941834193,0.286102697970978,0.520948935577084,0.713791318994479,0.0439890872097468,0.213864224336727,0.451196804369117,0.163386034746161,0.924426257832482
"1,2-dilinoleoyl-GPE (18:2/18:2)*",0.00256466229904208,0.356039941834194,0.00701211291358369,0.182531860964529,0.539113807034715,0.182531860964529,1,0.0187283868010195,0.633869587610079,0.0280703042358757,0.693511174791049,0.356039941834193,0.520948935577084,0.106918151178142,0.539113807034715,0.327015951002671,0.0874530601806711,0.163386034746161,0.356039941834194,0.673423202665486,0.154327160537791,0.860103507719015,0.775664871585324,0.19262499772471,0.273172593057827,0.0167992340927046,0.0655332271928348,0.734251788754801,0.59521871798588,0.775664871585324
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.503066960517545,0.00520150247761827,0.341354869770817,0.402135894917861,0.106918151178142,0.0403864039827663,0.0439890872097468,0.225014088667236,0.00442801687615523,0.539113807034715,0.000948977059617062,0.0118658922903862,0.503066960517545,0.468183503088794,1,0.356039941834194,0.693511174791049,0.313026082995925,0.00207768789039524,0.418166994020657,0.0478169053553036,0.106918151178142,0.0439890872097468,0.713791318994479,0.0308508738328496,0.163386034746161,0.817650128521417,0.154327160537791,0.114016394963896,0.371067789395025
"1,2-dipalmitoyl-GPE (16:0/16:0)*",0.59521871798588,0.00442801687615523,0.0478169053553036,0.286102697970978,0.236519264676913,0.451196804369117,0.0518776080763114,0.0607282533857394,0.0104817749990729,0.418166994020657,0.00806166279658789,0.00701211291358369,0.59521871798588,0.451196804369117,0.754880444355198,0.402135894917861,1,0.673423202665486,0.00442801687615523,0.286102697970978,0.0280703042358757,0.145606226031775,0.106918151178142,0.273172593057827,0.0187283868010195,0.0607282533857394,0.539113807034715,0.0706011110697353,0.182531860964529,0.485475943733222
"1,5-anhydroglucitol (1,5-AG)",0.341354869770817,0.754880444355198,0.468183503088794,0.83882493483871,0.734251788754801,0.902917866811604,0.286102697970978,0.213864224336727,0.503066960517545,0.902917866811604,0.796592401118968,0.371067789395025,0.213864224336727,0.520948935577084,0.00701211291358369,0.260598370671166,0.145606226031775,0.451196804369117,0.817650128521416,0.0518776080763114,0.402135894917861,0.860103507719015,0.817650128521416,0.734251788754801,0.371067789395025,0.327015951002671,0.341354869770817,0.881472363014635,0.653538937959263,0.273172593057827
"1,7-dimethylurate",0.988459825001309,0.651926394353146,0.782984361724339,0.16376970836679,0.93082837253222,0.816700522795399,0.5690008370884,0.651926394353146,0.953859142323981,0.771816916650639,0.435116132967087,0.599611590374597,0.694830743333518,0.11260935978213,0.274179300766919,0.805428032149335,0.214787494969753,0.44414499800451,0.435116132967087,0.00165587281703186,0.907845128118603,0.760688199278719,0.93082837253222,0.942338803062795,0.0306104628392702,0.684023561403914,0.828004273108696,0.288506282861372,0.529178190201111,0.246751888630833
"10-nonadecenoate (19:1n9)",0.341354869770817,0.881472363014635,0.576257826919622,0.881472363014635,0.614426013724972,0.924426257832482,0.468183503088794,0.539113807034715,0.576257826919622,0.0874530601806711,0.945983670156841,0.945983670156841,0.576257826919622,0.83882493483871,0.734251788754801,0.286102697970978,0.0167992340927046,0.236519264676913,0.860103507719015,0.693511174791049,0.775664871585324,0.341354869770817,0.386434553629285,0.796592401118967,0.713791318994479,0.225014088667236,0.902917866811604,0.356039941834194,0.402135894917861,0.775664871585324
"12,13-DiHOME",0.0152983124965859,0.344001453462213,0.0152983124965859,0.236273516514756,0.555333586666972,0.327253486510859,0.902145618722018,0.0152983124965859,0.26476160153018,0.0885086965982129,0.620485497073325,0.279700193008828,0.26476160153018,0.0961703262183641,0.926542767053161,0.173218414133935,0.197039690426476,0.396849800593756,0.236273516514756,0.711242675278101,0.0679755307439675,0.829483320721392,0.97548891094155,0.534250287129701,0.310950457245713,0.0961703262183641,0.310950457245713,0.853597273023048,0.926542767053161,0.513506637923609
"12-HHTrE",0.0404239810592009,0.902712845685628,0.158708000673814,0.94587512407963,0.817196783550099,0.642269328367454,0.545979374252683,0.299846068599554,0.358364068844969,0.0241077494369323,0.82780676352638,0.806614268677217,0.234677850467097,0.574239972908278,0.491239828676254,0.414010829573322,0.0269088063303954,0.228659091178821,0.913485416831837,0.491239828676254,0.473553249773279,0.456160227572872,0.989168462852478,0.881213437314719,0.545979374252684,0.127348968234888,0.350747482280466,0.989168462852478,0.642269328367454,0.612773481320415
"13-HODE + 9-HODE",0.0518776080763114,0.881472363014635,0.213864224336727,0.734251788754801,0.673423202665486,0.225014088667236,0.451196804369117,0.19262499772471,0.653538937959263,0.0607282533857394,0.713791318994479,0.924426257832482,0.945983670156841,0.203068420186092,0.945983670156841,0.653538937959263,0.0518776080763114,0.0338251607875947,0.924426257832482,0.673423202665486,0.633869587610079,0.386434553629285,0.451196804369117,0.860103507719015,0.356039941834194,0.154327160537791,0.451196804369117,0.576257826919622,0.12916175578724,0.860103507719015
"17-methylstearate",0.299387684486895,0.945983670156841,0.485475943733222,0.754880444355198,0.754880444355198,0.924426257832482,0.557553078061045,0.313026082995925,0.576257826919622,0.0370010457545527,0.796592401118968,0.989189709913342,0.299387684486895,0.924426257832482,0.924426257832482,0.12142915576969,0.0187283868010195,0.137219212931031,0.713791318994479,0.967576156202937,0.734251788754801,0.236519264676913,0.371067789395024,0.614426013724972,0.633869587610079,0.248380568071137,0.713791318994479,0.451196804369117,0.576257826919622,0.520948935577084
"1-arachidonoyl-GPC (20:4n6)*",0.924426257832482,0.182531860964529,0.485475943733222,0.327015951002671,0.0439890872097468,0.418166994020656,0.576257826919622,0.434522554208937,0.539113807034715,0.451196804369117,0.225014088667236,0.213864224336727,0.520948935577084,0.273172593057827,0.614426013724972,0.713791318994479,0.775664871585324,0.860103507719015,0.0815541216928155,0.386434553629285,0.260598370671166,0.468183503088795,0.967576156202937,0.341354869770817,0.114016394963896,0.100128813234869,0.754880444355198,0.924426257832482,0.796592401118967,0.860103507719015
"1-arachidonoyl-GPE (20:4n6)*",0.0561788662417929,0.248380568071137,0.0478169053553036,0.754880444355198,0.418166994020657,0.203068420186092,0.796592401118968,0.12142915576969,0.468183503088795,0.299387684486895,0.817650128521417,0.327015951002671,0.557553078061045,0.213864224336727,0.902917866811604,0.83882493483871,0.106918151178142,0.356039941834194,0.434522554208937,0.83882493483871,0.248380568071137,0.734251788754801,0.902917866811604,0.100128813234869,0.386434553629285,0.0167992340927046,0.286102697970978,0.860103507719015,0.299387684486896,0.539113807034715
"1-dihomo-linolenylglycerol (20:3)",0.377529481125095,0.955621617773108,0.51706246955549,0.377529481125095,0.498526210519246,0.867315666270784,0.44473001942767,0.377529481125095,0.654298985497069,0.977803748101271,0.867315666270784,0.613855791268312,0.147374314493133,0.633965058836215,0.00632791500737075,0.361584555686091,0.613855791268312,0.377529481125095,0.955621617773108,0.177197391345227,0.67484598838852,0.758923284143911,0.977803748101271,0.93346771133158,0.315894065081302,0.654298985497069,0.198979962224475,0.758923284143911,0.823611353266703,0.287266018557274
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*",0.576257826919622,0.260598370671166,0.286102697970978,0.860103507719015,0.100128813234869,0.633869587610079,0.653538937959263,0.633869587610079,0.539113807034715,0.236519264676913,0.273172593057827,0.341354869770817,0.693511174791049,0.327015951002671,0.83882493483871,0.967576156202937,0.386434553629285,1,0.313026082995925,0.924426257832482,0.341354869770817,0.59521871798588,0.734251788754801,0.12142915576969,0.225014088667236,0.0280703042358757,0.356039941834194,0.734251788754801,0.673423202665486,0.734251788754801
"1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*",0.576257826919622,0.0706011110697353,0.137219212931031,0.796592401118968,0.145606226031775,0.614426013724972,0.299387684486895,0.356039941834194,0.19262499772471,0.520948935577084,0.106918151178142,0.0815541216928155,0.775664871585324,0.673423202665486,0.796592401118967,0.817650128521417,0.451196804369117,0.59521871798588,0.0936424967223945,1,0.145606226031775,0.273172593057827,0.468183503088795,0.0759390758518602,0.182531860964529,0.0167992340927046,0.503066960517545,0.386434553629285,0.881472363014635,0.83882493483871
"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*",0.0187283868010195,0.633869587610079,0.0655332271928348,0.520948935577084,0.713791318994479,0.0815541216928155,0.817650128521416,0.0706011110697353,0.967576156202937,0.0607282533857394,0.83882493483871,0.817650128521416,0.924426257832482,0.182531860964529,0.614426013724972,0.371067789395025,0.0118658922903862,0.0561788662417929,0.775664871585324,0.945983670156841,0.468183503088795,0.557553078061045,0.386434553629285,0.299387684486895,0.796592401118968,0.0254755837807706,0.106918151178142,0.713791318994479,0.163386034746161,0.614426013724972
"1-linoleoyl-GPC (18:2)",0.273172593057827,0.796592401118967,0.796592401118968,0.967576156202937,0.796592401118968,0.402135894917861,0.0439890872097469,0.402135894917861,0.713791318994479,0.614426013724972,0.225014088667236,0.860103507719015,0.418166994020656,0.754880444355198,0.989189709913342,0.902917866811604,0.100128813234869,0.273172593057827,0.902917866811604,0.989189709913342,0.902917866811604,0.327015951002671,0.225014088667236,0.485475943733222,0.633869587610079,0.503066960517545,0.817650128521416,0.145606226031775,0.0150173742825602,0.371067789395025
"1-linoleoyl-GPI (18:2)*",0.570320126228912,0.570320126228912,0.429054848700468,0.706636631932547,0.935974749691415,0.767803987378345,0.893458705879011,0.0854881741944781,0.380889759521277,0.726871690939348,0.809275856813226,0.429054848700468,0.254212113956085,0.935974749691415,0.893458705879011,0.00755670209649721,0.0101252232677546,0.935974749691415,0.335615441939357,0.365470183682198,0.350377178579973,0.851192958941081,0.497492059936935,0.726871690939348,0.396630800290556,0.196022378620094,0.809275856813226,0.429054848700468,0.851192958941081,0.706636631932547
"N1-methyladenosine",0.574356019094198,0.44473001942767,0.780352335624235,0.801919446588116,0.758923284143911,0.301394197046233,0.977803748101271,0.911356092610019,0.105094079748197,0.867315666270784,0.498526210519246,0.330761944057366,0.247140923008748,0.674845988388521,0.410458462585499,0.315894065081302,0.480286296340156,0.823611353266703,0.535885937797868,0.147374314493133,0.955621617773108,0.977803748101271,0.427429867987261,0.498526210519246,0.0116524932267405,0.867315666270784,0.301394197046233,0.427429867987261,0.823611353266703,0.210445401571026
