"","StromalScore","ImmuneScore","ESTIMATEScore","APM1","APM2","Angiogenesis","B.cells","CD8.T.cells","CTLA4","Cytotoxic.cells","DC","Eosinophils","Macrophages","Mast.cells","NK.CD56bright.cells","NK.CD56dim.cells","NK.cells","Neutrophils","PD1","PDL1","T.cells","T.helper.cells","Tcm.cells","Tem.cells","Tfh.cells","Tgd.cells","Th1.cells","Th17.cells","Th2.cells","Treg.cells"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*",0.937577255645844,0.987107191942513,0.980918467246356,0.952481002851654,0.953899137705605,0.940007361089781,0.974834145413253,0.937577255645844,0.990184506648716,0.910245331635242,0.990184506648716,0.990184506648716,0.990184506648716,0.861438740333816,0.974834145413253,0.937577255645844,0.861438740333816,0.805644979410225,0.996383342794963,0.926437034797017,0.97610049705777,0.861438740333816,0.861438740333816,0.969845493758293,0.990184506648716,0.990184506648716,0.990184506648716,0.987107191942513,0.957702216170362,0.969845493758293
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",0.953899137705605,0.940007361089781,1,0.996383342794963,1,0.990184506648716,0.910245331635242,1,0.915865737212672,0.861438740333816,0.97610049705777,0.940007361089781,0.990184506648716,0.947499558687317,0.946284249578564,0.974834145413253,0.861438740333816,0.903537831635221,0.961218723547159,0.969845493758293,0.961218723547159,0.861438740333816,0.861438740333816,1,0.986800367310511,0.946284249578564,0.940007361089781,0.940007361089781,0.908243508655275,0.998942547695235
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*",0.861438740333816,0.990184506648716,0.940007361089781,0.940007361089781,0.969845493758293,0.936539890325887,0.952481002851654,0.926437034797017,0.969845493758293,0.733175548932926,0.987107191942513,0.976077478568463,0.993132087570618,0.976077478568463,0.97610049705777,0.952481002851654,0.861438740333816,0.733175548932926,0.998942547695235,0.969845493758293,0.995299832437556,0.903537831635221,0.880068586111026,0.990184506648716,0.969845493758293,0.891776296703234,0.903537831635221,0.940007361089781,0.861438740333816,1
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",0.946284249578564,0.963696716544464,0.992165831332464,0.986800367310511,0.976077478568463,0.940007361089781,0.980918467246356,0.97610049705777,0.952481002851654,0.861438740333816,0.990184506648716,0.940007361089781,0.993132087570618,0.926437034797017,0.986800367310511,0.952481002851654,0.861438740333816,0.733175548932926,0.986800367310511,0.940007361089781,0.946284249578564,0.860021261944433,0.861438740333816,0.990184506648716,0.993132087570618,0.987107191942513,0.980918467246356,0.969845493758293,0.940007361089781,0.998942547695235
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*",0.910245331635242,0.961218723547159,0.980918467246356,1,0.952481002851654,0.910245331635242,0.963696716544464,0.963696716544464,0.966129737738917,0.891776296703234,0.974834145413253,0.947499558687317,0.980918467246356,0.940007361089781,0.995299832437556,0.910245331635242,0.669099852359053,0.846303182996241,0.969845493758293,0.990184506648716,0.966129737738917,0.861438740333816,0.861438740333816,0.995299832437556,0.963696716544464,0.940007361089781,0.969845493758293,0.952481002851654,0.926437034797017,0.990184506648716
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",0.995299832437556,0.990184506648716,1,0.990184506648716,0.998942547695235,1,1,0.996383342794963,0.996383342794963,0.940007361089781,0.990184506648716,0.986800367310511,0.996383342794963,0.996383342794963,0.940007361089781,0.940007361089781,0.861438740333816,0.910245331635242,1,1,0.976077478568463,0.926437034797017,0.915865737212672,1,0.998942547695235,0.947499558687317,1,0.976077478568463,0.976077478568463,0.986800367310511
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*",0.910245331635242,0.996383342794963,0.940007361089781,0.992165831332464,0.990184506648716,0.969845493758293,0.969845493758293,0.953899137705605,0.996383342794963,0.969845493758293,0.995299832437556,0.990184506648716,0.993132087570618,0.998942547695235,0.990184506648716,0.969845493758293,0.861438740333816,0.990184506648716,0.990184506648716,0.97610049705777,0.990184506648716,0.987107191942513,0.937577255645844,0.947499558687317,1,0.861438740333816,0.986800367310511,0.976077478568463,0.940007361089781,1
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*",0.996383342794963,0.910245331635242,0.961218723547159,0.996383342794963,0.969845493758293,0.940007361089781,0.976077478568463,0.961218723547159,0.860021261944433,0.990184506648716,0.861438740333816,0.861438740333816,1,0.993132087570618,0.910245331635242,0.980918467246356,0.974834145413253,0.990184506648716,0.861438740333816,0.969845493758293,0.946284249578564,0.990184506648716,0.97610049705777,0.996383342794963,0.861438740333816,0.940007361089781,0.969845493758293,0.953899137705605,0.980918467246356,0.937577255645844
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",0.861438740333816,1,0.937577255645844,0.937577255645844,0.937577255645844,0.990184506648716,0.961218723547159,0.940007361089781,0.990184506648716,0.669099852359053,0.993132087570618,0.996383342794963,0.969845493758293,0.992165831332464,0.940007361089781,0.969845493758293,0.908243508655275,0.861438740333816,0.990184506648716,0.990184506648716,0.97610049705777,0.940007361089781,0.963696716544464,0.990184506648716,0.936539890325887,0.880068586111026,0.880068586111026,0.980918467246356,0.940007361089781,0.976077478568463
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*",0.990184506648716,0.940007361089781,0.961218723547159,0.946284249578564,0.974834145413253,0.990184506648716,0.987107191942513,0.940007361089781,0.926437034797017,0.937577255645844,0.940007361089781,0.940007361089781,0.990184506648716,0.915865737212672,0.952481002851654,0.990184506648716,0.995299832437556,0.915865737212672,0.926437034797017,0.861438740333816,0.97610049705777,0.990184506648716,0.996383342794963,0.995299832437556,0.805644979410225,0.966129737738917,1,0.974834145413253,0.996383342794963,0.940007361089781
