"Pathway","Study","DifferentialAbundance","PathwaySize","KEGGID","NA"
"Alanine, aspartate and glutamate metabolism","PAADHussain1",0,15,"Pancreatic
Zhang1","hsa00250"
"Alanine, aspartate and glutamate metabolism","PAADHussain2",-0.5,12,"Pancreatic
Zhang2","hsa00250"
"Alanine, aspartate and glutamate metabolism","OV",0.428571428571429,14,"Ovarian","hsa00250"
"Alanine, aspartate and glutamate metabolism","PAAD",-0.181818181818182,11,"Pancreatic
Kamphorst","hsa00250"
"Alanine, aspartate and glutamate metabolism","BRCATang",0.833333333333333,12,"Breast
Tang","hsa00250"
"Alanine, aspartate and glutamate metabolism","PRAD",0.363636363636364,11,"Prostate
Sreekumar","hsa00250"
"Alanine, aspartate and glutamate metabolism","BLCA",0.333333333333333,3,"Bladder","hsa00250"
"Alanine, aspartate and glutamate metabolism","PRADLODA",-0.153846153846154,13,"Prostate
Priolo","hsa00250"
"Alanine, aspartate and glutamate metabolism","BRCA",0.769230769230769,13,"Breast
Terunuma","hsa00250"
"Alanine, aspartate and glutamate metabolism","KIRC",-0.307692307692308,13,"Clear Cell
Kidney","hsa00250"
"Amino sugar and nucleotide sugar metabolism","BLCA",NA,0,"Bladder","hsa00520"
"Amino sugar and nucleotide sugar metabolism","KIRC",0.5,14,"Clear Cell
Kidney","hsa00520"
"Amino sugar and nucleotide sugar metabolism","PAADHussain1",0,9,"Pancreatic
Zhang1","hsa00520"
"Amino sugar and nucleotide sugar metabolism","PRAD",0,7,"Prostate
Sreekumar","hsa00520"
"Amino sugar and nucleotide sugar metabolism","PAADHussain2",-0.0833333333333333,12,"Pancreatic
Zhang2","hsa00520"
"Amino sugar and nucleotide sugar metabolism","PAAD",0,8,"Pancreatic
Kamphorst","hsa00520"
"Amino sugar and nucleotide sugar metabolism","OV",0,12,"Ovarian","hsa00520"
"Amino sugar and nucleotide sugar metabolism","BRCATang",0.7,10,"Breast
Tang","hsa00520"
"Amino sugar and nucleotide sugar metabolism","BRCA",0.923076923076923,13,"Breast
Terunuma","hsa00520"
"Amino sugar and nucleotide sugar metabolism","PRADLODA",0.181818181818182,11,"Prostate
Priolo","hsa00520"
"Aminoacyl-tRNA biosynthesis","BRCA",0.9,20,"Breast
Terunuma","hsa00970"
"Aminoacyl-tRNA biosynthesis","PRAD",0.842105263157895,19,"Prostate
Sreekumar","hsa00970"
"Aminoacyl-tRNA biosynthesis","PAAD",0,18,"Pancreatic
Kamphorst","hsa00970"
"Aminoacyl-tRNA biosynthesis","PAADHussain2",-0.2,20,"Pancreatic
Zhang2","hsa00970"
"Aminoacyl-tRNA biosynthesis","PAADHussain1",-0.15,20,"Pancreatic
Zhang1","hsa00970"
"Aminoacyl-tRNA biosynthesis","KIRC",-0.75,20,"Clear Cell
Kidney","hsa00970"
"Aminoacyl-tRNA biosynthesis","BRCATang",0.95,20,"Breast
Tang","hsa00970"
"Aminoacyl-tRNA biosynthesis","OV",0.05,20,"Ovarian","hsa00970"
"Aminoacyl-tRNA biosynthesis","PRADLODA",-0.05,20,"Prostate
Priolo","hsa00970"
"Aminoacyl-tRNA biosynthesis","BLCA",0.0666666666666667,15,"Bladder","hsa00970"
"Arginine and proline metabolism","PAADHussain1",-0.0555555555555556,18,"Pancreatic
Zhang1","hsa00330"
"Arginine and proline metabolism","KIRC",0,18,"Clear Cell
Kidney","hsa00330"
"Arginine and proline metabolism","BRCA",0.705882352941177,17,"Breast
Terunuma","hsa00330"
"Arginine and proline metabolism","OV",0.117647058823529,17,"Ovarian","hsa00330"
"Arginine and proline metabolism","PRAD",0.384615384615385,13,"Prostate
Sreekumar","hsa00330"
"Arginine and proline metabolism","BLCA",0.571428571428571,7,"Bladder","hsa00330"
"Arginine and proline metabolism","PAAD",-0.0833333333333333,12,"Pancreatic
Kamphorst","hsa00330"
"Arginine and proline metabolism","BRCATang",0.75,12,"Breast
Tang","hsa00330"
"Arginine and proline metabolism","PAADHussain2",-0.0769230769230769,13,"Pancreatic
Zhang2","hsa00330"
"Arginine and proline metabolism","PRADLODA",-0.176470588235294,17,"Prostate
Priolo","hsa00330"
"Arginine biosynthesis","PAADHussain1",-0.3,10,"Pancreatic
Zhang1","hsa00220"
"Arginine biosynthesis","PRADLODA",-0.222222222222222,9,"Prostate
Priolo","hsa00220"
"Arginine biosynthesis","BLCA",1,3,"Bladder","hsa00220"
"Arginine biosynthesis","KIRC",-0.1,10,"Clear Cell
Kidney","hsa00220"
"Arginine biosynthesis","PAADHussain2",-0.125,8,"Pancreatic
Zhang2","hsa00220"
"Arginine biosynthesis","BRCA",0.8,10,"Breast
Terunuma","hsa00220"
"Arginine biosynthesis","PAAD",-0.0909090909090909,11,"Pancreatic
Kamphorst","hsa00220"
"Arginine biosynthesis","OV",0.272727272727273,11,"Ovarian","hsa00220"
"Arginine biosynthesis","PRAD",0.444444444444444,9,"Prostate
Sreekumar","hsa00220"
"Arginine biosynthesis","BRCATang",0.555555555555556,9,"Breast
Tang","hsa00220"
"beta-Alanine metabolism","KIRC",-0.0833333333333333,12,"Clear Cell
Kidney","hsa00410"
"beta-Alanine metabolism","OV",0.3,10,"Ovarian","hsa00410"
"beta-Alanine metabolism","PAADHussain2",-0.222222222222222,9,"Pancreatic
Zhang2","hsa00410"
"beta-Alanine metabolism","PAADHussain1",-0.111111111111111,9,"Pancreatic
Zhang1","hsa00410"
"beta-Alanine metabolism","BRCA",0.818181818181818,11,"Breast
Terunuma","hsa00410"
"beta-Alanine metabolism","BLCA",0.5,6,"Bladder","hsa00410"
"beta-Alanine metabolism","PRADLODA",0,12,"Prostate
Priolo","hsa00410"
"beta-Alanine metabolism","PRAD",0.444444444444444,9,"Prostate
Sreekumar","hsa00410"
"beta-Alanine metabolism","BRCATang",0.9,10,"Breast
Tang","hsa00410"
"beta-Alanine metabolism","PAAD",0,6,"Pancreatic
Kamphorst","hsa00410"
"Biosynthesis of unsaturated fatty acids","BRCA",1,14,"Breast
Terunuma","hsa01040"
"Biosynthesis of unsaturated fatty acids","OV",0.125,16,"Ovarian","hsa01040"
"Biosynthesis of unsaturated fatty acids","PRAD",1,4,"Prostate
Sreekumar","hsa01040"
"Biosynthesis of unsaturated fatty acids","BLCA",0.5,2,"Bladder","hsa01040"
"Biosynthesis of unsaturated fatty acids","KIRC",0.470588235294118,17,"Clear Cell
Kidney","hsa01040"
"Biosynthesis of unsaturated fatty acids","BRCATang",0.642857142857143,14,"Breast
Tang","hsa01040"
"Biosynthesis of unsaturated fatty acids","PAAD",NA,0,"Pancreatic
Kamphorst","hsa01040"
"Biosynthesis of unsaturated fatty acids","PAADHussain2",-1,13,"Pancreatic
Zhang2","hsa01040"
"Biosynthesis of unsaturated fatty acids","PAADHussain1",-0.384615384615385,13,"Pancreatic
Zhang1","hsa01040"
"Biosynthesis of unsaturated fatty acids","PRADLODA",0.5,14,"Prostate
Priolo","hsa01040"
"Butanoate metabolism","KIRC",0.285714285714286,7,"Clear Cell
Kidney","hsa00650"
"Butanoate metabolism","PRAD",0.5,4,"Prostate
Sreekumar","hsa00650"
"Butanoate metabolism","BRCA",0.777777777777778,9,"Breast
Terunuma","hsa00650"
"Butanoate metabolism","BLCA",NA,0,"Bladder","hsa00650"
"Butanoate metabolism","PAADHussain1",0,8,"Pancreatic
Zhang1","hsa00650"
"Butanoate metabolism","PRADLODA",0,9,"Prostate
Priolo","hsa00650"
"Butanoate metabolism","PAADHussain2",0,6,"Pancreatic
Zhang2","hsa00650"
"Butanoate metabolism","PAAD",0,7,"Pancreatic
Kamphorst","hsa00650"
"Butanoate metabolism","OV",0.444444444444444,9,"Ovarian","hsa00650"
"Butanoate metabolism","BRCATang",1,7,"Breast
Tang","hsa00650"
"Citrate cycle (TCA cycle)","PRAD",0,7,"Prostate
Sreekumar","hsa00020"
